id,title,price,brand,Combined_raiska,Combined_istrizaine,Combined_operacine
207,"50"" UHD Išmanusis televizorius televizorius KIVI 50U730QB, juodos spalvos",301.62,Kivi,3840 x 2160,50,Android
208,JVC LT32VAH3300 Android televizorius,184.80,JVC,HD Ready,32 32'' 30 - 39,Android Android
209,SONY KD32W800P1AEP LCD televizorius,289.99,Sony,HD Ready,32 32'' 30 - 39,Android Android 10
210,"Televizorius Allview | 32ATC6000-H | 32"" (81 cm) | N/A | HD | Juodas",114.53,AllView,HD Ready,"32"" 32",Neturi
211,Televizorius Unispectra 190T2S2 EU,145,,HD Ready,19,
212,Philips | 4K UHD OLED išmanusis televizorius su Ambilight | 65OLED718/12 | 65 colių (164 cm) | Išmanusis televizorius | Google TV | 4K UHD OLED,1302.08,,4K,65,Android
213,"Hisense Mini-LED televizorius 55U7KQ, 55"", 4K Ultra HD, VA",781.35,Hisense,4K,55,
214,Televizorius Samsung QE65Q60DAUXXH,617.09,Samsung,4K,165 cm (65 coliai),Tizenas
215,SONY KD50X80LPAEP LCD televizorius,791.17,,4K,50,Android
216,Televizorius Šilelis TV-32,179,ŠILELIS,1366 x 768,,VIDAA OS
217,SONY XR65A95LAEP OLED televizorius,2956.98,Sony,4K,"65 65"" 50 - 58",Android Android 12
218,Televizorius Panasonic MPN,375.99,Panasonic,Full HD,"102 cm (40"")",Android
219,"Televizorius Kivi 65', UHD, Android TV 11, Juodas, 3840x2160, 60 Hz, Sound 2x12W, 111 kWh/1000h, BT5, HDMI jungtys 4, 24 months",465.99,Kivi,"3840 x 2160
4K 3840x2160","65 65"" 65""",Android
220,Philips 4K LED televizorius su Ambilight | 75PUS8919/12 | 75 | Smart TV | Titan OS | UHD | Antracito pilka,1161.58,Philips,4K,75,Android
221,Televizorius Samsung UE32T5372CUXXH,289.99,Samsung,Full HD,32 32'' 30 - 39,Tizen Tizen™
222,"Televizorius|TCL|43""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|Google TV|Metalinis|43P635",297.90,TCL,4K,"43 43"" 40 - 43",Android Android
223,Televizorius SAMSUNG UE65AU7092UXXH 65 colių UHD 2xHDMI USB,536.88,,4K,65,Tizen
224,Televizorius PHILIPS 43PFS5507/12,239.99,Philips,Full HD,43,
225,Televizorius LED 10cali USB SD HDMI AV-in PVR DVB-T/T2 MPEG-4/2 12V 230V... (NVOX DVB10T),75.99,,1024x600,10,Neturi
226,"„Philips“ 4K UHD LED „Android“ televizorius 75 colių 75PUS8818/12 3 pusių Ambilight 3840x2160p HDR10+ 4xHDMI 2xUSB LAN WiFi DVB-T/T2/T2-HD/C/S/S2, 20W",1300.91,,4K,75,Android
227,"Televizorius TV Set|DAHUA|32""|1366x768|Android TV|Juodas|DHI-LTV32-SD100",130.90,Dahua,HD Ready,32,Android
228,"Televizorius Allview | 32iPlay6000-H | 32"" (81 cm) | Smart TV | VIDAA | HD | Juodas",136.40,,1366 x 768,32,VIDAA OS
229,"Philips OLED 4K „Ambilight“ televizorius 48OLED818/12, 48 col.",939.99,Philips,4K,48,Android
230,Televizorius Sharp Aštrus | 32FH2EA | 32 colių (81 cm) | Smart TV | Android | HD | Juodas,170.49,Sharp,HD Ready,32 32'',Android Android TV
231,Philips | 65PUS8818/12 | 65 colių (164 cm) | Išmanusis televizorius | Google TV | 4K UHD LED,975.99,,4K,65,Saphi
232,"Televizorius Sony | KD75X75WL | 75"" (189 cm) | Android | QFHD | Juodas",1184.30,Sony,4K,"75 75"" 40 - 43",Android „GoogleTV“ (ATV 10.0)
233,SONY XR65X90LAEP LCD televizorius,1283.24,Sony,4K,"65 65"" 40 - 43",Android „GoogleTV“ (ATV 10.0)
234,"Televizorius Sony XR42A90K 42"" (107cm), Juodos spalvos",1259.54,Sony,4K,106 cm (42 coliai),Google TV
235,"Televizorius eSTAR Android TV 43""/101cm 2K FHD LEDTV43A1T2 Juodas",219.99,eStar,Full HD,"43 43"" 40 - 43",Android Android 11
236,"Televizorius Sony XR55A80LAEP 55"" (139cm), Juodos spalvos",1298.90,Sony,4K,"55 55"" 50 - 58",Android Android 10
237,"Televizorius Allview | 40iPlay6000-F/1 | 40"" (101 cm) | Smart TV | VIDAA | FHD | Juodas",195.69,AllView,Full HD,"40""",VIDAA OS
238,"Televizorius TCL C84 Series 55C845 TV 139,7 cm (55 colių) 4K Ultra HD Smart TV Wi-Fi Juodas",928.29,TCL,4K,139 cm (55 colių),Google TV
239,Philips | 4K UHD OLED Android TV | 55OLED718/12 | 55 colių (139 cm) | Išmanusis televizorius | Google TV | 4K UHD LED,1239.99,Philips,4K,55,Android
240,"Cabletech 32"" DVB-T2 H.265 HEVC televizorius",108.07,Cabletech,,32,
241,"TV Set|LG|50""|4K/Smart|3840x2160|webOS|50QNED85T3A",569.99,LG,"4K

3840 x 2160","50 50"" 40 - 43",webOS WebOS
242,Televizorius Allview | 43iPlay6000-U | 43 coliai (109 cm) | Smart TV | VIDA | UHD,239.13,,4K,43,VIDAA OS
243,Televizorius LG,305.90,,4K,43,webOS
244,Philips | 43PFS6808/12 | 43 colių (108 cm) | Išmanusis televizorius | FHD,261.90,,HD Ready,43,Saphi
245,SONY XR55A95LAEP OLED televizorius,2389.99,Sony,4K,"55 55"" 50 - 58",Android Android 12
246,"Televizorius|LG|77""|OLED/4K/Smart|3840x2160|Belaidis LAN|Bluetooth|webOS|Juodas|OLED77C41LA",2147.51,LG,4K,"77 77"" 50 - 58",webOS WebOS
247,Televizorius Sony K55XR80PAEP Bravia 8 | 55 | Smart TV | Google TV | 4K UHD | Juodas,1599.99,Sony,"4K
3840 x 2160","55 55"" 50 - 58",Android „GoogleTV“ (ATV 12.0)
248,"Televizorius|LG|65""|OLED/4K|3840x2160|Belaidis LAN|Bluetooth|WebOS|OLED65G42LW",1783.42,LG,4K,"65 65"" 50 - 58",webOS WebOS
249,"Televizorius CHiQ L40H7G TV 40"", FHD, išmanusis, ""Google TV"", dbx-tv, ""Dolby Audio"", be rėmelių",229.99,Chiq,Full HD,40,Google TV
250,Televizorius PHILIPS OLED 65OLED819/12,1759.99,Philips,4K,65,Android
251,Televizorius Samsung UE55DU8002KXXH,448.90,Samsung,3840 x 2160,55,Tizen
252,Televizorius HISENSE 65A6K 65 colių UHD 3xHDMI 2xUSB,467.99,Hisense,4K,"65 65""",Android VIDAA U6
253,SAMSUNG QE55Q77DATXXH 55 colių televizorius,691.77,Samsung,4K,55,Tizenas
254,Toshiba Televizorius LED 32 cale 32LV3E63DG,197.93,Toshiba,Full HD,"32""",
255,Televizorius Samsung QE65Q67DAUXXH,647.90,Samsung,4K,65,Tizenas
256,Televizorius Samsung QE55Q70DATXXH,606.80,Samsung,UHD 4K (3840 x 2160),55 138,Tizen
257,Televizorius Sharp Aštrus | 55FP1EA | 55 colių (139 cm) | Smart TV | Android TV | 4K UHD,475.99,Sharp,"4K
3840 x 2160","55 55""",Android Android TV
258,Televizorius Toshiba 55QA5D63DG QLED 55'' 4K Ultra HD Android,449.83,Toshiba,4K,"55""",Android
259,"Kruger & Matz 32"" HD išmanusis televizorius DVB-T2/S2 H.265 HEVC",146.59,,HD Ready,32,Linux
260,Samsung 32 colių Full HD televizorius T5379C,322.49,Samsung,"HD Ready
Full HD",32,Tizen
261,SONY KD75X80LAEP LCD televizorius,1244.39,Sony,4K,"75 75"" 40 - 43",Android „GoogleTV“ (ATV 10.0)
262,"Televizorius Sony XR65A80LAEP 65"" (164cm), Juodos spalvos",1838.96,,4K,65,Android
263,"Televizorius|LG|50""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|webOS|50QNED86T3A",684.47,LG,4K,"50 50"" 50 - 58",webOS WebOS
264,LG 65UR781C0LK 65 colių (165 cm) UHD 4K išmanusis televizorius,742.49,,4K,65,webOS
265,"Televizorius|TOSHIBA|65""|4K/Smart|QLED|3840x2160|Belaidis LAN|Bluetooth|Android|65QA5D63DG",689.99,Toshiba,3840x2160 4K,65,Android Android TV
266,"Televizorius|PHILIPS|55""|4K/Smart|3840x2160|Belaidis LAN|Titan OS|55PUS8079/12",493.72,Philips,3840 x 2160,"55""",
267,JVC LT40VF4101 FHD televizorius,199.89,JVC,Full HD,"40 40"" 40 - 43",Nėra
268,Televizorius PHILIPS OLED 55OLED909/12,1828.90,Philips,Ultra HD,55 inch / 139 cm,
269,"„Philips“ 4K UHD LED išmanusis televizorius 50 colių 50PUS7609/12 3840x2160p HDR10+ 3xHDMI 2xUSB LAN WiFi DVB-T/T2/T2-HD/C/S/S2, 20W",349.99,Philips,4K,50,
270,"Televizorius|TOSHIBA|65""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|Android TV|Juodas|65UA2363DG",488.45,,4K,65,Android
271,Televizorius Samsung QE55Q67DAUXXH,478.87,Samsung,4K,55,Tizenas
272,"Televizorius TV Set|PANASONIC|65""|4K/Smart|3840x2160|Wireless LAN|Bluetooth|Android TV|TX-65LX650E",558.24,,4K,65,Android
273,"Televizorius Hisense 40A5NQ (100 cm (40 col.), juodas, FullHD, Triple Imtuvas, SmartTV, USB-C)",288.38,Hisense,Full HD,"40 40""",VIDAA U6
274,"Televizorius TV Set|DAHUA|32""|4K/Smart|1366x768|Android TV|Juodas|DHI-LTV32-SDB100",133.99,Dahua,"4K

3840 x 2160",32,
275,"Televizorius LG 55UN640S0LD 55"" UHD IPS 400 NITS 16/7 DVB-T2/S2/C WIFI",554.52,LG,3840 x 2160 3840 x 2160,55 55,webOS
276,"Televizorius CHiQ L40QH7G TV 40"", QLED, ""Full HD"", ""Google TV"", be rėmelių, ""Dolby Audio"", dbx-tv, HDR 10",299.99,Chiq,Full HD,"102 cm (40"")",Google TV
277,Sony OLED televizorius | K77XR80P Bravia 8 | 77 | Smart TV | Google TV | 4K UHD,2998.80,Sony,UHD 4K (3840 x 2160),77 196,Android
278,Televizorius PHILIPS 55PUS8558/12,749.69,Philips,4K,"55""",Android
279,Televizorius Sharp Aštrus | 55GL4260E | 55 colių (139 cm) | Smart TV | Google TV | 4K UHD,449.99,Sharp,4K,"55""",Android
280,Televizorius LG 86QNED85T3C 4K QNED,1528.06,LG,4K,"86 86"" 40 - 43",webOS WebOS
281,"Televizorius Sharp | 55GP6260E | 55"" (139cm) | Smart TV | Google TV | 4K UHD QLED",457.46,Sharp,"4K
3840 x 2160",55,
282,Televizorius Sharp TV | 32FH2EW | 32 | Android TV | HD | Baltas,174.89,Sharp,HD Ready,32,Android
283,"Televizorius|JVC|55""|4K/Smart|QLED|3840x2160|Belaidis LAN|Bluetooth|Android TV|LT-55VAQ330P",408.87,JVC,"4K

3840 x 2160","55 55""",Android Android
284,Televizorius Samsung QE85Q60DAUXXH,1198.80,Samsung,4K,216 cm (85 coliai),Tizenas
285,Televizorius Samsung QE85Q70DATXXH,1444,Samsung,UHD 4K (3840 x 2160),85 214,Tizen
286,"Televizorius Sharp | 70GP6260E | 70"" (177 cm) | Smart TV | N/A | 4K UHD",614.90,Sharp,"4K
3840 x 2160","178 cm (70"")",Google TV
287,"Televizorius|SAMSUNG|98""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|Tizen|Juodas|UE98DU9072UXXH",1913.01,Samsung,4K,98 98'' 40 - 43,Tizen Tizen™
288,Televizorius Samsung UE85DU8072UXXH,1255.81,Samsung,4K,"85 85"" 40 - 43",Tizen Tizen™
289,"43 colių televizorius Blaupunkt 43UBG6010S 4K Ultra HD LED, GoogleTV, Dolby Atmos, WiFi 2,4-5GHz, BT, balta",259.01,Blaupunkt,4K,43,
290,"Televizorius|LG|75""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|webOS|75QNED85T3C",1169.38,LG,4K,"75 75"" 40 - 43",webOS WebOS
291,"Televizorius|TCL|43""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|Google TV|Juodas|43P655",265.99,TCL,"4K

3840 x 2160","43 43""",„GoogleTV“ (ATV 12.0)
292,"Philips 4K UHD LED išmanusis televizorius 65 colių 65PUS8319/12 3 pusių Ambilight 3840x2160p HDR10+ 4xHDMI 2xUSB LAN WiFi, DVB-T/T2/T2-HD/C/S/S2, 20W",626.18,Philips,4K,65,
293,Finlux Televizorius QLED 65 cali 65FUH7161,455.76,Finlux,4K,"65""",Android
294,Philips LED televizorius | 50PUS8319/12 | 50 | Smart TV | Titanas | 4K Ultra HD | Juodas,431.74,Philips,4K,50,
295,Televizorius „ProCaster Q970H 43 4K QLED Google TV“.,289.99,Procaster,"4K

3840 x 2160",,
296,"Televizorius 27"" LG 27TQ615S-WZ",205.99,LG,1920 x 1080 (FullHD) 1920 x 1080,27 27,
297,ProCaster 55ST901H 55 4K Android LED televizorius,329.99,Procaster,"4K

3840 x 2160",55,Android
298,ProCaster 50SL901H 50 4K Android LED televizorius,279.99,Procaster,4K,50,Android
299,Televizorius JVC MPN,309.99,JVC,Full HD,"109 cm (43"")",Android
300,"Televizorius HISENSE 43A6N 43"" UHD Smart TV 60Hz 2xUSB",288.26,Hisense,4K,"43 43""",VIDAA OS VIDAA U7.6
301,"Televizorius|LG|50""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|webOS|50NANO82T3B",363.90,LG,"4K

3840 x 2160","50 50"" 40 - 43",webOS WebOS
302,"Televizorius SAMSUNG 50"" HOTEL TV 4K ULTRA HD (3840X2160) LCD SMART TV",602.21,Samsung,4K,"50""",Tizen
303,"Thomson 32HA2S13C TV 32"" HD televizorius +12V +24V",167.95,Thomson,HD Ready,32,Android
304,Televizorius LG 43'' NANO 81 – 4K TV (2024),359.99,LG,"4K

3840 x 2160",43,
305,"Televizorius Sony KD32W800P | 32"" (80 cm) | Smart TV | Android | HD | Juodas | PAŽEISTA PAKUOTĖ, FEW SMALL NICKS ON TOP FRAME",245.61,Sony,HD Ready,32,Android
306,"Kruger & Matz 43"" FHD išmanusis DVB-T2/S2 H.265 Hevc televizorius",219.99,Kruger & Matz,Full HD,43,
307,"32 colių televizorius UD 32GF5210S Full HD, D-LED, DVB-T / T2 / C",162.03,UD,Full HD,32,
308,"Philips 4K UHD LED išmanusis televizorius 65 colių 65PUS7608/12 , 3840x2160p HDR10+ 3xHDMI 2xUSB LAN WiFi DVB-T/T2/T2-HD/C/S/S2, 20W",575.99,,4K,65,Saphi
309,Televizorius HISENSE 75A6K 75 colių UHD 3xHDMI 2xUSB,765.99,,4K,75,Android
310,Philips 4K Ambilight televizorius | 48OLED819/12 | 48 | Smart TV | Google TV | UHD,1229.99,Philips,4K,"48 48""",Google TV
311,"Televizorius|LG|65""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|webOS|65QNED86T3A",819.99,LG,4K,65,webOS
312,Televizorius LG 43UT73003LA | 43 | Smart TV | webOS24 | UHD | Juodas,299.97,LG,"4K

3840 x 2160","43 43"" 40 - 43",webOS WebOS
313,Televizorius Šilelis TV-43,269,ŠILELIS,3840 x 2160,43,VIDAA OS
314,"Televizorius TV CHiQ L32M8TG LED 32 ""'Full HD Android",205.99,Chiq,Full HD,81 cm (32 coliai),Google TV
315,Televizorius Sharp Aštrus | 50GL4260E | 50 colių (126 cm) | Smart TV | Google TV | Ultra HD,399.99,Sharp,4K,"50 50""",Android Google TV
316,"50 colių televizorius Blaupunkt 50QBG7000S 4K Ultra HD QLED, GoogleTV, Dolby Atmos, WiFi 2,4-5GHz, BT, juoda",361.94,Blaupunkt,HD Ready,50,
317,"Televizorius TV Set|DAHUA|55""|4K/Smart|3840x2160|Wireless LAN|Bluetooth|Android TV|Juodas|DHI-LTV55-SD400",311.02,Dahua,4K,55,Android
318,"Televizorius Kivi 32"", Juodas, HD 2k, Android TV 11, Juodas, 1920x1080, 60 Hz, AV1, Sound 2x8W, 26 kWh/1000h, Energy E, WiFi5G, BT5.1, 3xHDMI, 2xUSB, Mėlyna Remote, Central stand, 24 months",165.70,Kivi,,32'',Android 11
319,Televizorius PHILIPS 55PML9308/12,829.99,Philips,4K,"55""",
320,Televizorius PHILIPS 65PML8709/12,699.99,Philips,4K,65,
321,"Televizorius Hisense 32A5NQ (80 cm (32 col.), juodas, FullHD, Triple Imtuvas, SmartTV, USB-C)",243.39,Hisense,Full HD,32 32'',VIDAA U6
322,Televizorius LG 55UR78006LK LED 55'' 4K Ultra HD WebOS,458.90,,4K,55,webOS
323,Samsung UE43DU7192UXXH,325.99,Samsung,"4K

3840 x 2160","43""",Tizen
324,Televizorius ProCaster LE-40SL702H 40 Full HD Android,205.99,Procaster,Full HD,40,Android
325,"Televizorius|LG|65""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|webOS|65QNED85T3C",799.39,LG,"3840 x 2160

4K","65 65"" 40 - 43",webOS WebOS
326,SAMSUNG televizorius Neo QLED 55 colių QE55QN90CAT,889.57,,"3840 x 2160

4K",55,Tizen
327,Televizorius SAMSUNG UE50DU8002KXXH 50inch TV,431.97,Samsung,3840 x 2160,50,Tizen
328,Samsung UE65CU7092UXXH,559.99,Samsung,4K,"65 65"" 40 - 43",Tizen Tizen™
329,Televizorius Samsung QE65Q77DATXXH,803.29,Samsung,"4K

3840 x 2160",65,Tizenas
330,Televizorius Hisense 55A6N,359.99,Hisense,4K,"55 55""",VIDAA OS VIDAA U7.6
331,Televizorius Samsung QE75QN85DBTXXH,1465.36,Samsung,4K,100 cm (40 colių),Tizenas
332,"Televizorius|TCL|43""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|Google TV|Juodas|43P637",245.71,TCL,4K,43,
333,"LG 86QNED86T3A televizorius 2,18 m (86 colių) 4K Ultra HD išmanusis televizorius Wi-Fi Jude",1558.54,LG,"4K

3840 x 2160",86,webOS
334,"Televizorius|TCL|43""|4K/Smart|QLED|3840x2160|Belaidis LAN|Bluetooth|Google TV|Juodas|43C655",308.55,TCL,4K,"43 43"" 40 - 43",„GoogleTV“ (ATV 12.0)
335,"Televizorius Kivi 24"", Baltas, HD Ready, Android TV 11, Juodas, 1366x768, 60 Hz, AV1, Garsas 2x5W, 17 kWh/1000h, Energy E, WiFi5G, BT5.1, 3xHDMI, 2xUSB, 24 mėn.",148.82,Kivi,HD Ready 1366x768,"24 24"" 24""",
336,"Televizorius Kivi 55', UHD, Android TV 11, Juodas, 3840x2160, 60 Hz, Sound 2x12W, 83 kWh/1000h , BT5.1, HDMI jungtys 4, 24 months",359.99,Kivi,"3840 x 2160
4K 3840x2160","55 55"" 55""",Android
337,"Televizorius LG | 32LQ63806LC | 32"" (81 cm) | Smart TV | WebOS | FHD | Baltas",209.99,LG,Full HD,32 32'' 30 - 39,webOS WebOS
338,"Televizorius Samsung UE32J4100AWXBT 32""/81cm",209.99,,HD Ready,32,Tizen
339,"Televizorius|LG|32""|FHD|1920x1080|Belaidis LAN 802.11ac|Bluetooth|webOS|Juodas|32LQ631C0ZA",185.99,LG,Full HD,32 32'' 30 - 39,webOS WebOS
340,ProCaster 70Q950H 70 4K Android QLED televizorius,499.99,Procaster,4K,70,Android
341,Televizorius PHILIPS 43PUS7608/12,345.99,,4K,43,Saphi
342,"Televizorius Philips 4K UHD LED SmartTV 55"" 55PUS7608/12 3840x2160p HDR10+ 3xHDMI 2xUSB LAN WiFi DVB-T/T2/T2-HD/C/S/S2, 20W",409.99,,4K,55,Saphi
343,"Televizorius SAMSUNG 32 colių HOTEL TV 32HT5300 FHD, DVB-T2/C/S2 (LYNK CLOUD)",333.08,Samsung,1920 x 1080,"32""",
344,TCL C845 75 4K QLED mini LED „Google“ televizorius,1639.99,TCL,4K,75,Android
345,Philips | 55PUS8118/12 | 55 colių (139 cm) | Išmanusis televizorius | 4K UHD LED,584.84,,3840 x 2160,55,Saphi
346,"Philips 4K UHD OLED Android™ televizorius 42 colių 42OLED818/12 4 pusių Ambilight 3840x2160p HDR10+ 4xHDMI 3xUSB LAN WiFi DVB-T/T2/T2-HD/C/S/S2, 50 W",1119.99,Philips,4K,42,Android
347,Blaupunkt 32FBG5010S,181.96,Blaupunkt,Full HD,32,
348,"Televizorius HISENSE 32A4K 32"" HD LED 60Hz 2xHDMI 2xUSB",196.79,,HD Ready,32,VIDAA OS
349,"24 colių televizorius UD 24GW5210S HD, D-LED, DVB-T / T2 / C",133.95,UD,HD Ready,24,
350,"Televizorius Kivi 50"", UHD, Android TV 11, Juodas, 60 Hz, AV1, Sound 2x12W, 65 kWh/1000h, Energy F, WiFi5G, BT5.1, 4xHDMI, 2xUSB, Mėlyna Remote, 24 months",319.99,Kivi,"3840 x 2160
4K 3840x2160","50 50"" 50""",
351,"Televizorius Kivi 55"", UHD, Android TV 11, Juodas, 60 Hz, AV1, Sound 2x12W, 82 kWh/1000h, Energy G, WiFi5G, BT5.1, 3xHDMI, 2xUSB, 24 months",359.99,Kivi,"4K
3840 x 2160 3840x2160","55"" 55""",
352,"Televizorius Kivi 43"", UHD, Android TV 11, Baltas, 1920x1080, 60 Hz, AV1, Garsas 2x12W, 53 kWh/1000h, Energy G, WiFi5G, BT5.1, 3xHDMI, 2xUSB, 24 mėn.",245.35,Kivi,3840 x 2160 3840x2160,"43 43"" 43""",Android
353,Televizorius KIVI 43U760QW,319.99,Kivi,"4K

3840 x 2160",43,
354,Televizorius KIVI 32H760QW,159.99,Kivi,HD Ready,32,
355,"Televizorius LG OLED65G23LA 65"" (165 cm), Smart TV, WebOS, 4K HDR OLED, 3840 × 2160, Wi-Fi, DVB-T/T2/C/S/S2",1724.90,,4K,65,webOS
356,Televizorius Thomson 32HD2S13 (Ekspozicinė prekė),188.99,Thomson,,,
358,"Televizorius Kivi 40F750NB, 40', FHD, Google Android TV, Juodas, 1920x1080, 60 Hz, Sound by JVC, 2x8W, 41 kWh/1000h , BT (Ekspozicinė prekė)",239.99,JVC,,,
359,"Philips 4K UHD LED išmanusis televizorius 75 colių 75PUS8319/12 3 pusių Ambilight 3840x2160p HDR10+ 4xHDMI 2xUSB LAN WiFi, DVB-T/T2/T2-HD/C/S/S2, 20W",865.99,Philips,4K,75,
360,"Philips 6600 series 32PHS6605/12 televizorius 81,3 cm (32"") HD Smart TV „Wi-Fi“ Juoda",239,,HD Ready,32,Saphi
361,Televizorius PHILIPS 32PHS5505/12,204.90,,HD Ready,32,Neturi
362,Televizorius PHILIPS 24PHS5537/12,144.91,Philips,HD Ready,24,
363,Televizorius Samsung QE43Q67AAUXXH,581.79,Samsung,3840x2160 4K,43,Tizenas
364,JVC LT24VH2105 televizorius,124.99,,HD Ready,24,Neturi
365,"Televizorius TV LG 32"" HD | 1366x768 | Bevielis LAN 802.11ac | Bluetooth| webOS |Juodas | 32LQ630B6LA",171.49,,HD Ready,32,webOS
366,SAMSUNG televizorius QLED 65 colių QE65Q60CAU,678.81,Samsung,UHD 4K (3840 x 2160),65 163,Tizenas
367,Televizorius PHILIPS 32PHS5507/12,147.64,,HD Ready,32,Neturi
368,SAMSUNG televizorius OLED 65 colių QE65S90CAT,1403.88,,4K,65,Tizen
369,"TCL 4K HDR televizorius su ""Google TV"" ir ""Game Master"" | 55"" | 4K/Smart | 3840x2160 | Belaidis LAN | Bluetooth | P63 serija | 55P638",442.09,,4K,55,Android
370,Televizorius Samsung QE50Q80CATXXH,3065.99,,3840 x 2160,50,Tizen
371,SAMSUNG televizorius OLED 77 colių QE77S90CAT,3635.59,Samsung,UHD 4K (3840 x 2160),77,Tizenas
372,Televizorius LG 55'' 4K OLED TV G2,1000.81,,4K,55,webOS
373,"Televizorius eSTAR Android TV 40""/101cm 2K FHD LEDTV40A2T2",227.45,,Full HD,40,Android
374,Philips | 50PUS8118/12 | 50 colių (126 cm) | Išmanusis televizorius | 4K UHD LED,509.99,,3840 x 2160,50,Saphi
375,"Televizorius Allview | 24ATC6000-H | 24"" (60 cm) | N/A | HD | Juodas",93.99,AllView,HD Ready,"24""",Neturi
376,"Išmanusis televizorius Sony X75WL Series, 139 cm (55"")",682.97,Sony,4K,55,Android
377,"Televizorius SAMSUNG 32"" HOTEL TV HJ690W, SLIM FHD, DVB-T2/C/S2, WIFI/2.4",425.99,Samsung,Full HD,"32""",Tizen
378,"Televizorius|LG|55""|OLED/4K/Smart|3840x2160|Belaidis LAN|Bluetooth|WebOS|OLED55B36LA",1508.86,LG,4K,"55 55""",webOS webOS 23
379,"Televizorius|TCL|65""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|Google TV|65P638",559.99,,4K,65,Android
380,"Televizorius LG | OLED65G33LA | 65"" (165 cm) | Smart TV | webOS 23 | 4K UHD OLED",2234.90,,4K,65,webOS
381,Televizorius Allview | 43iPlay6000-F | 43 colių (109 cm) | Smart TV | VIDAA | FHD,208.90,,Full HD,43,VIDAA OS
382,LG Monitorius 23.6 cali 24TQ510S-WZ televizorius,192.37,LG,1366 x 768,"23.6""",Android
383,SAMSUNG televizorius Neo QLED 55 colių QE55QN85CAT,851,,4K,55,Tizen
384,Sharp Aštrus | 24FA2E | 24 colių (60 cm) | N/A | HD READY televizorius,114.60,Sharp,HD Ready,24,
385,Televizorius HISENSE 55A6K 55 colių UHD LED LCD 50Hz 3xHDMI 2xUSB,505.99,Hisense,4K,"55 55""",Android VIDAA U6
386,Televizorius Lin 32D1700 LED 32'' HD Ready Linux,147.95,LIN,HD Ready,32 80 cm 32'',Linux
387,"Televizorius LG | OLED55G33LA | 55"" (139 cm) | Smart TV | webOS 23 | 4K UHD OLED",1314,LG,4K,"55 55"" 50 - 58",webOS WebOS
388,Televizorius Philips | 32PHS6808/12 | 32 colių (80 cm) | Smart TV | HD,169.99,,HD Ready,32,Saphi
389,"Televizorius eSTAR Android TV 32""/82cm 2K HD LEDTV32A2T2 (Pažeista pakuotė)",166.62,eStar,HD Ready,32 32'' 30 - 39,Android Android
390,Televizorius Samsung QE75Q80CATXXH,1333.92,,3840 x 2160,75,Tizen
391,QLED televizorius HISENSE 43E7KQ,512.90,Hisense,4K,"43 43""",VIDAA OS VIDAA U6
392,Televizorius TCL P745 Series 98P745 4K LED Google TV,1803.59,TCL,"3840 x 2160

4K",98 98'' daugiau nei 80,Android „GoogleTV“ (ATV 12.0)
393,SAMSUNG televizorius OLED 65 colių QE65S95CAT,3318.72,Samsung,4K,165 cm (65 coliai),Tizenas
394,Televizorius Allview | QL43ePlay6100-U | 43 colių (109 cm) | Smart TV | Android TV | UHD | Juodas,273.42,AllView,4K,50,Saphi
395,"„Philips“ 4K UHD LED išmanusis televizorius 50 colių 50PUS7608/12 3840x2160p HDR10+ 3xHDMI 2xUSB LAN WiFi DVB-T/T2/T2-HD/C/S/S2, 20W",374.27,,3840 x 2160,65,Android
396,"Televizorius|TOSHIBA|65""|4K/Smart|3840x2160|Belaidis LAN|Bluetooth|Android TV|Juodas|65UA5D63DG",547.51,,4K,"75 75"" 40 - 43",Android „GoogleTV“ (ATV 10.0)
397,Televizorius Sony,1630.98,Sony,HD Ready,24 24'' 20 - 26,Android Android TV 11
398,JVC LT24VAH3300 Android televizorius,166.89,JVC,4K,75,Android
399,SONY KD75X75WLPAEP LCD televizorius,1251.26,Sony,4K,75,Tizen
400,"Televizorius|SAMSUNG|75""|4K/Smart|QLED|3840x2160|Belaidis LAN|Bluetooth|Tizen|Carbon Sidabrinis|QE75QN90CATXXH",2358.79,,3840 x 2160,"50 50"" 40 - 43",„GoogleTV“ (ATV 12.0)
401,"Televizorius|TCL|50""|4K/Smart|QLED|3840x2160|Belaidis LAN|Bluetooth|Google TV|Juodas|50C655",480.12,TCL,"4K

3840 x 2160","50 50"" daugiau nei 80",„GoogleTV“ (ATV 12.0)
402,TCL C805 50 4K QLED mini LED „Google“ televizorius,659.72,TCL,4K,65,Android
403,ProCaster 65Q951H 65 4K Android QLED televizorius,459.99,Procaster,4K,65,Android
404,ProCaster 65SL901HN 65 4K Android LED televizorius,415.99,Procaster,"4K

3840 x 2160",125 cm (50 colių),Tizenas
