id,price,brand,brandI,Amortizatoriai galiniai:,Balnelis:,Diskiniai stabdžiai:,Dviračių tipai:,Galinis permetėjas:,Kategorija:,Licencijos (filmukų herojai):,Padangos:,Pakuotė:,Pakuotės išmatavimai ir svoris (1):,Pakuotės išmatavimai ir svoris (2):,Pardavėjas:,Pavarų perjungimo rankenėlė:,Pavarų skaičius:,Pedalai:,Prekės ID:,Prekės pakuočių kiekis:,Prekės ženklas:,Priekinis permetėjas:,Ratlankiai:,Ratų skersmuo:,Rekomend. amžius nuo:,Rekomenduojamas ūgis:,Rėmas:,Rėmo dydis:,Rūšis:,Skirta:,Stabdžių sistema:,Svoris:,Visos šio ženklo prekės:,Šakė:
496,1549.0,Cube,"Dviratis Cube Reaction Pro 2023, juodas",Nenurodyta,Natural Fit Venec,Taip,Kalnų,"Shimano XT RD-M8100-SGS, ShadowPlus, 12-pavarų",Dviračiai,,"Priekinės - Schwalbe Racing Ray, Addix Performance, Kevlar, 2.25; galinės - Schwalbe Racing Ralph, Addix Performance, Kevlar, 2.25",153x24x78 cm,"1,53 x 0,24 x 0,78 m, 15,9 kg",,Biketek,Shimano Deore SL-M6100-IR,12,CUBE MTB,67433946,1 vnt.,Cube,Nenurodyta,"CUBE ZX20, 32H, Disc","29 """,,"170-180 cm, 					            175-180 cm, 					            180-190 cm, 					            190-200 cm",Aliuminis,18 cm,"Cube, kalnų dviračiai","Moterims, 					            Vyrams",Shimano XT BR-M8100,12.9 kg,Visos Cube prekės,RockShox Judy Silver TK
497,270.97,Huffy,"Vaikiškas dviratis Huffy Glimmer 71839W, 16"", violetinis",Nėra,,,Vaikiški,Nenurodyta,Dviračiai,,,,"0,1 x 0,11 x 0,1 m, 1 kg",,"KATARATA, 					            Minced",Nenurodyta,Nenurodyta,,78247038,1 vnt.,Huffy,Nenurodyta,Nenurodyta,"16 """,,110-130 cm,Nenurodyta,16 cm,"Huffy, vaikiški dviračiai",Mergaitėms,Nenurodyta,12.8 kg,Visos Huffy prekės,Nenurodyta
498,449.82,Rock Machine,"Kalnų dviratis Rock Machine Catherine 27.5"", mėlynas",Nėra,,,Kalnų,Shimano RD-M310,Dviračiai,,,,"1,65 x 0,55 x 0,7 m, 14,1 kg",,"IT Sales, 					            IT Company SIA",Shimano SL-M315,16,,70124871,1 vnt.,Rock Machine,Nenurodyta,Aliuminiai,"27.5 """,,165-185 cm,Aliuminis,17 cm,"Rock Machine, kalnų dviračiai",Moterims,Nenurodyta,14.1 kg,Visos Rock Machine prekės,Aliuminis
499,229.99,Early Rider,"Dviratis vaikams Early Rider Big Foot 12"", sidabrinės spalvos",Nenurodyta,,,Vaikiški,Nenurodyta,Dviračiai,,Vee Crown Gem,,"0,8 x 0,19 x 0,42 m, 8,5 kg",,"mazimazi, 					            ONE",Nenurodyta,1,,73216576,1 vnt.,Early Rider,Nenurodyta,Aliuminiai,"12 """,2 m.,80-85 cm,Aliuminis,12 cm,"Early Rider, vaikiški dviračiai","Berniukams, 					            Mergaitėms",Tektro,3.75 kg,Visos Early Rider prekės,Aliuminis
500,399.0,ROMET,"Dviratis Romet Rambler R9.0 29"" 2023, pilkas",Nėra,,,Miesto,SHIMANO Altus RDM-310,Dviračiai,,,,"1,5 x 0,55 x 0,7 m, 16 kg",,"Pigu.lt, 					            Velomarket OÜ, 					            Minced",Shimano ST-EF41 3 pavarų / Shimano ST-EF41 7 pavarų,21,,70421476,1 vnt.,Romet,Nenurodyta,Aliuminiai sustiprinti,"29 """,,165-185 cm,Aliuminis,17 cm,"Romet, miesto dviračiai",Vyrams,V formos stabdžiai,15.8 kg,Visos ROMET prekės,SR Suntour XCE-P
501,373.0,Devron,"Kalnų dviratis Devron RM1.7, 27.5"", juodas",Nenurodyta,,,Kalnų,Shimano Tourney,Dviračiai,,,,"1,86 x 2,3 x 1,04 m, 17 kg",,Pigu.lt,Shimano Altus SL-M315,Nenurodyta,,83694310,1 vnt.,Devron,Nenurodyta,27.5,"27.5 """,,165-185 cm,Aliuminis,18 cm,"Devron, kalnų dviračiai",Vyrams,Diskiniai hidrauliniai,16.6 kg,Visos Devron prekės,"RST Blaze, MLO, 100 mm, PM diskas"
502,842.09,ROMET,"Dviratis Romet Rambler FIT 29"" 2022 gold-18"" / L",Nėra,,,Kalnų,Nenurodyta,Dviračiai,,,,"1,6 x 0,52 x 0,5 m, 10 kg",,"Pro Baltic, 					            Minced",Nenurodyta,16,,45199348,1 vnt.,Romet,Nenurodyta,-,"29 """,,180-190 cm,Aliuminis,18 cm,"Romet, kalnų dviračiai",Universalus,Diskiniai,15.4 kg,Visos ROMET prekės,Nenurodyta
503,999.99,NINER,"Niner RLT 9 2021 Rėmai, 53 cm",,,,,,Dviračiai,,,,"1 x 0,25 x 1 m, 10 kg",,SIA Bajtel lv,,,,101366067,1 vnt.,Niner,,,,,,,,,,,,Visos NINER prekės,
504,-1.0,Xiaomi Himo,"Elektrinis dviratis HIMO C30S MAX, Baltas C30SMAXW",Yra,,,Miesto,Nenurodyta,Dviračiai,,,,"1,43 x 0,53 x 0,69 m, 17 kg",,,Yra,18,,53270264,1 vnt.,Xiaomi Himo,Nenurodyta,Aliuminiai,"28 """,,"132-160 cm, 					            160-170 cm, 					            170-180 cm",Aliuminis,18 cm,"Xiaomi Himo, miesto dviračiai","Moterims, 					            Universalus, 					            Vyrams",Nenurodyta,23 kg,Visos Xiaomi Himo prekės,Amortizuojanti
505,171.98,Volare,"Vaikiškas dviratis 18"" Volare Thombike, juodas",Nėra,,,Vaikiški,Nenurodyta,Dviračiai,,,102x18x60 cm,"1,02 x 0,6 x 0,18 m, 14,5 kg",,Kouket,Nenurodyta,1,,74741506,1 vnt.,Volare,Nenurodyta,Nenurodyta,"18 """,,104-116 cm,Metalinis,24 cm,"Volare, vaikiški dviračiai",Berniukams,Nenurodyta,12.3 kg,Visos Volare prekės,Nenurodyta
506,173.72,Volare,"Vaikiškas dviratis Volare Ashley 18"", žalias",Nėra,,,Vaikiški,1- bėgio vidinės pavaros,Dviračiai,,,,"1 x 0,24 x 0,67 m, 14 kg",,Kouket,Nėra,1,,73851501,1 vnt.,Volare,Nėra,18,"18 """,,104-116 cm,Aliuminis,18 cm,"Volare, vaikiški dviračiai",Mergaitėms,priekinis ir galinis rankinis stabdis,15 kg,Visos Volare prekės,Aliuminis
507,136.84,Coral,Dviratukas vaikams Denver Coral RT,Nėra,,,Vaikiški,Nenurodyta,Dviračiai,,,,"1,6 x 0,52 x 0,62 m, 7 kg",,"Pro Baltic, 					            KATARATA, 					            Minced",Nenurodyta,Nenurodyta,,25496600,1 vnt.,Coral,Nenurodyta,"12"" aliuminiai","12 """,,95-110 cm,Plieninis,12 cm,"Coral, vaikiški dviračiai",Universalus,Diskiniai hidrauliniai,7 kg,Visos Coral prekės,Nenurodyta
508,149.99,,Mergaitės 16 colių širdies dviratis - Apricot,Nenurodyta,,Ne,Vaikiški,,Dviračiai,,,,"0,93 x 0,2 x 0,48 m, 13 kg",,Sun baby,,1,Plastic,69898471,1 vnt.,,,,,4 m.,105-115 cm,Metalinis,16 cm,,Mergaitėms,V-tipo,,,Kieta
509,373.0,Devron,"Kalnų dviratis Devron RM0.7, 27.5"", juodas",Nenurodyta,,,Kalnų,Shimano Tourney RD-TY300,Dviračiai,,,,"1,86 x 2,3 x 1,04 m, 17 kg",,Pigu.lt,Shimano Altus SL-M315,Nenurodyta,,83694290,1 vnt.,Devron,Nenurodyta,27.5,"27.5 """,,165-185 cm,Aliuminis,18 cm,"Devron, kalnų dviračiai",Vyrams,Diskiniai hidrauliniai,16.6 kg,Visos Devron prekės,"RST Blaze, MLO, 100 mm, PM diskas"
510,373.0,Denver,"Kalnų dviratis Devron RM0.7, 27.5"", pilkas",Nenurodyta,,,Kalnų,Shimano Tourney RD-TY300,Dviračiai,,,,"1,86 x 2,3 x 1,04 m, 17 kg",,Pigu.lt,Shimano Altus SL-M315,Nenurodyta,,83694280,1 vnt.,Denver,Nenurodyta,27.5,"27.5 """,,160-180 cm,Aliuminis,16 cm,"Denver, kalnų dviračiai",Vyrams,Diskiniai hidrauliniai,16.6 kg,Visos Denver prekės,"RST Blaze, MLO, 100 mm, PM diskas"
511,440.98,ROMET,"Kalnų dviratis Romet Rambler R6.1 JR 26"" 2022, mėlynas/žalias",Nėra,Vader,Ne,Kalnų,Shimano Tourney RD-TY300D,Dviračiai,,"26×2,0",,"1,4 x 0,7 x 0,69 m, 15 kg",,"KATARATA, 					            EasyShop, 					            Minced",Shimano ST-EF41 3 pavarų / Shimano ST-EF41 7 pavarų,21,FP-804,46033193,1 vnt.,Romet,Nenurodyta,Aliumininiai,"26 """,,"132-160 cm, 					            160-170 cm",Aliuminis,15 cm,"Romet, kalnų dviračiai","Moterims, 					            Universalus",V-tipo,13.4 kg,Visos ROMET prekės,Amortizuojanti
512,232.9,The Paw Patrol,Dviratukas vaikams Toimsa Paw Patrol 12,Nėra,,,Vaikiški,Nenurodyta,Dviračiai,Šunyčiai patruliai (Paw Patrol),,,"1,6 x 0,52 x 0,5 m, 9 kg",,Pro Baltic,Nenurodyta,Nenurodyta,Plastikiniai,8111968,1 vnt.,The Paw Patrol,Nenurodyta,-,"12 """,,95-110 cm,Plieninis,10 cm,"The Paw Patrol, vaikiški dviračiai",Berniukams,Nenurodyta,9 kg,Visos The Paw Patrol prekės,Kieta
513,232.9,The Paw Patrol,Dviratukas vaikams Toimsa Paw Patrol 12,Nėra,,,Vaikiški,Nenurodyta,Dviračiai,Šunyčiai patruliai (Paw Patrol),,,"1,6 x 0,52 x 0,5 m, 9 kg",,Pro Baltic,Nenurodyta,Nenurodyta,Plastikiniai,8111968,1 vnt.,The Paw Patrol,Nenurodyta,-,"12 """,,95-110 cm,Plieninis,10 cm,"The Paw Patrol, vaikiški dviračiai",Berniukams,Nenurodyta,9 kg,Visos The Paw Patrol prekės,Kieta
514,544.89,Coppi,"Vaikiškas dviratis 20"" JUNIOR MAN HELLO 2/RED/BLACK 8001446125601 COPPI",Nenurodyta,Nenurodyta,Ne,Vaikiški,Nenurodyta,Dviračiai,,20,,"1,41 x 0,19 x 0,84 m, 13 kg",,Minced,Nenurodyta,1,Plastikiniai,53572584,1 vnt.,Coppi,Nenurodyta,Aliumininiai,"20 """,,125-150 cm,Plieninis,13 cm,"Coppi, vaikiški dviračiai",Berniukams,V-tipo,12 kg,Visos Coppi prekės,Kieta
515,479.0,ROMET,"Miesto dviratis Romet Pop Art Classic 28"" Alu 2022, mėlynas",Nėra,Romet City,Ne,Miesto,Shimano Nexus 3,Dviračiai,,28x1.75,,"1,4 x 0,7 x 0,69 m, 17 kg",,"Pigu.lt, 					            Velomarket OÜ, 					            Pro Baltic, 					            Minced, 					            PowerSPORT",Shimano Nexus 3,3,FP-804,46034868,1 vnt.,Romet,Nėra,Aliumininiai,"28 """,,"170-180 cm, 					            180-190 cm",Aliuminis,18 cm,"Romet, miesto dviračiai","Moterims, 					            Universalus","Priekiniai – V-tipo, galiniai – pedalų",16.5 kg,Visos ROMET prekės,Kieta
516,666.94,Rock Machine,"Kalnų dviratis Rock Machine Manhattan 29"", sidabrinis",Yra,,,Kalnų,Shimano Altus,Dviračiai,,,,"1,65 x 0,55 x 0,7 m, 14,3 kg",,PrimeOnline,Shimano Altus,18,,69900671,1 vnt.,Rock Machine,Nenurodyta,Nenurodyta,"29 """,,165-178 cm,Aliuminis,18 cm,"Rock Machine, kalnų dviračiai",Universalus,Nenurodyta,14 kg,Visos Rock Machine prekės,ZOOM 327E
517,405.76,ROMET,"Kalnų dviratis Romet Rambler R6.0 JR 26"" 2022, juodas/mėlynas",Nėra,Vader,Ne,Kalnų,Shimano Tourney TY300,Dviračiai,,26x2.10,180 x 50 x 20 cm,"1,8 x 0,45 x 0,7 m, 18 kg",,"KATARATA, 					            EasyShop, 					            Minced",Shimano Revoshift RS-35 3 pavarų / Shimano Revoshift RS-35 7 pavarų,21,FP-804,46033163,1 vnt.,Romet,Nenurodyta,Dvigubi aliumininiai,"26 """,,"132-160 cm, 					            160-170 cm, 					            170-180 cm",Aliuminis,19 cm,"Romet, kalnų dviračiai","Universalus, 					            Vyrams",V-tipo,13.4 kg,Visos ROMET prekės,Amortizuojanti
518,139.0,Sun Baby,"Dviratukas vaikams Sun Baby Tiger Bike 12, juodas",Nenurodyta,,,Vaikiški,Nenurodyta,Dviračiai,,MTB,,"1,2 x 1 x 1 m, 13 kg",,Sun baby,Nenurodyta,1,,42357048,1 vnt.,Sun baby,Nenurodyta,Nenurodyta,"12 """,2 m.,70-113 cm,Nenurodyta,12 cm,"Sun baby, vaikiški dviračiai",Berniukams,V-Brake,11.8 kg,Visos Sun Baby prekės,Nenurodyta
519,569.0,ROMET,"Dviratis Romet Orkan 3 D 28"" 2022, juodas/rožinis",Nenurodyta,Vader,Taip,Hibridiniai,Shimano Alivio RD-T4000,Dviračiai,,28x1.65,,"1,4 x 0,45 x 0,8 m, 16 kg",,Velomarket OÜ,"Shimano ST-EF500 3 pavarų, Shimano ST-EF500 8 pavarų",24,FP-920B aliumininiai,46034228,1 vnt.,Romet,Nenurodyta,Aliuminiai sustiprinti,"28 """,,"170-180 cm, 					            180-190 cm",Aliuminis,20 cm,"Romet, hibridiniai dviračiai",Moterims,Diskiniai mechaniniai,13.9 kg,Visos ROMET prekės,Amortizuojanti
520,132.8,Volare,"Vaikiškas dviratis Volare, 14"", juodas",Nenurodyta,,,Vaikiški,Nenurodyta,Dviračiai,,,,"1 x 0,17 x 0,54 m, 10 kg",,"KATARATA, 					            IT Company SIA",Nenurodyta,1,,69491806,1 vnt.,Volare,Nenurodyta,Nenurodyta,"14 """,,98-110 cm,Aliuminis,14 cm,"Volare, vaikiški dviračiai",Berniukams,Nenurodyta,10 kg,Visos Volare prekės,Nenurodyta
521,132.8,Volare,"Vaikiškas dviratis Volare 14"", baltas",Nenurodyta,,,Vaikiški,Nenurodyta,Dviračiai,,,,"1 x 0,17 x 0,54 m, 10 kg",,IT Company SIA,Nenurodyta,1,,69491811,1 vnt.,Volare,Nenurodyta,Nenurodyta,"14 """,,98-110 cm,Aliuminis,14 cm,"Volare, vaikiški dviračiai",Mergaitėms,V-Brake,10 kg,Visos Volare prekės,Nenurodyta
522,131.88,Toimsa,"Vaikiškas dviratis Toymsa 14"", mėlynas",Nenurodyta,,,Miesto,Nenurodyta,Dviračiai,,,,"1,6 x 0,52 x 0,5 m, 8,6 kg",,"PowerSPORT, 					            HG plus",Nenurodyta,Nenurodyta,,28293169,1 vnt.,Toimsa,Nenurodyta,Nenurodyta,"14 """,4 m.,95-110 cm,Metalinis,16 cm,"Toimsa, miesto dviračiai",Berniukams,Nenurodyta,- kg,Visos Toimsa prekės,Nenurodyta
523,566.99,Volare,"Dviratis 24"" Volare Dynamic, juodas",Nėra,,,Vaikiški,Nenurodyta,Dviračiai,,,,"1,17 x 0,55 x 0,61 m, 12 kg",,KATARATA,microSHIFT,8,,68396031,1 vnt.,Volare,Nenurodyta,Nenurodyta,"24 """,8 m.,125-150 cm,Aliuminis,29 cm,"Volare, vaikiški dviračiai","Berniukams, 					            Mergaitėms",V-Brake,10 kg,Visos Volare prekės,Nenurodyta
524,125.0,Volare,"Vaikiškas dviratis Volare Brilliant, 12"", mėlynas",Nenurodyta,,,Vaikiški,Nenurodyta,Dviračiai,,,,"1,6 x 0,52 x 0,5 m, 9 kg",,EUROLED LV,Nenurodyta,1,,38671308,1 vnt.,Volare,Nenurodyta,Plieniniai,"12 """,3 m.,85-100 cm,Metalinis,8.5 cm,"Volare, vaikiški dviračiai",Mergaitėms,"Priekiniai – V-tipo, galiniai – pedalų",8 kg,Visos Volare prekės,Kieta
525,734.35,ROMET,"Dviratis Romet Wagant 3 2022, 21"", juodas",Nenurodyta,Selle Royal Freeway,,Miesto,Shimano Acera RD-M360,Dviračiai,,28x1.35,,"1,5 x 0,45 x 0,7 m, 15 kg",,Minced,Shimano ST-EF500 3 pavarų / Shimano ST-EF500 7 pavarų,21,FP-804,46033813,1 vnt.,Romet,Nenurodyta,Aliuminiai sustiprinti,"28 """,,190-200 cm,Aliuminis,21 cm,"Romet, miesto dviračiai",Vyrams,Alhonga V-Brake,18.2 kg,Visos ROMET prekės,SR Suntour M3010
526,173.72,Volare,"Dviratukas mergaitei Volare Miracle Cruiser 18'' 25,4 cm, baltas",Nenurodyta,,,Vaikiški,Nenurodyta,Dviračiai,,,,"1,42 x 0,52 x 0,68 m, 13,5 kg",,Kouket,Nenurodyta,1,,53197894,1 vnt.,Volare,Nenurodyta,Aliuminiai,"18 """,,104-116 cm,Plieninis,18 cm,"Volare, vaikiški dviračiai",Mergaitėms,Nenurodyta,13.5 kg,Visos Volare prekės,Nenurodyta
527,165.27,Toimsa,"Dviratukas vaikams Toimsa 16"", mėlynas",Nėra,,,Vaikiški,Nėra,Dviračiai,,,,"1,6 x 0,52 x 0,5 m, 8,9 kg",,"Minced, 					            PowerSPORT, 					            HG plus",Nėra,1,,28293174,1 vnt.,Toimsa,Nėra,Aliuminiai,"16 """,,113-140 cm,Metalinis,17 cm,"Toimsa, vaikiški dviračiai",Berniukams,V-Brake,9 kg,Visos Toimsa prekės,Aliuminis
528,609.13,ROMET,"Miesto/trekingo dviratis Romet Gazela 28"" 2022, 19"", juodas",Nėra,Selle Royal Rio,Ne,"Miesto, 					            Trekking",Shiamono Altus RD-M310,Dviračiai,,28 x 1.35,180 x 50 x 20 cm,"1,8 x 0,5 x 0,2 m, 18 kg",,Minced,Shimano ST-EF41 3 pavarų / Shimano ST-EF41 7 pavarų,21,FP-804,46033628,1 vnt.,Romet,Nenurodyta,Dvigubi aliumininiai,"28 """,,170-180 cm,Aliuminis,19 cm,"Romet, miesto dviračiai,                                                                                             Romet, trekking dviračiai","Moterims, 					            Universalus",V-tipo,16.9 kg,Visos ROMET prekės,Amortizuojanti
529,248.0,Makani,"Dviratis vaikams Makani Ostria 16"", šviesiai rožinis",Nenurodyta,,,Vaikiški,Nenurodyta,Dviračiai,,,17x44x95 cm,"0,95 x 0,45 x 0,7 m, 11 kg",,Pigu.lt,Nenurodyta,1,,49301403,1 vnt.,Makani,Nenurodyta,Aliuminiai,"16 """,,85-100 cm,Magnio,16 cm,"Makani, vaikiški dviračiai",Mergaitėms,V-Brake,9.5 kg,Visos Makani prekės,Nenurodyta
530,393.38,ROMET,Dviratis Romet Rambler Kid 2 20,Nėra,,,Vaikiški,SHIMANO,Dviračiai,,,,"1,49 x 0,55 x 0,6 m, 20 kg",,"Pro Baltic, 					            Minced",Nenurodyta,18,,60299338,1 vnt.,Romet,Nenurodyta,Aliuminiai,"20 """,,160-185 cm,Plieninis,16 cm,"Romet, vaikiški dviračiai","Berniukams, 					            Mergaitėms",V-tipo,- kg,Visos ROMET prekės,Nenurodyta
531,165.44,Toimsa,"Vaikiškas dviratis Toimsa Children's Bike Toimsa Paw Patrol 12"", violetinis/rožinis",Nėra,,,Vaikiški,Nenurodyta,Dviračiai,,,,"0,6 x 0,6 x 0,6 m, 9 kg",,"Kouket, 					            Brandberry, 					            Vitalimax, 					            Digizone, 					            Digitooted OÜ, 					            PowerSPORT",Nenurodyta,1,,72517806,1 vnt.,Toimsa,Nenurodyta,Nenurodyta,"12 """,3 m.,100-105 cm,Nenurodyta,12 cm,"Toimsa, vaikiški dviračiai",Mergaitėms,Nenurodyta,- kg,Visos Toimsa prekės,Nenurodyta
532,199.0,Early Rider,"EARLY RIDER Bella Velio, 00-24 men. Pistacijų žalia",,,,,,Dviračiai,,,,"1,2 x 0,31 x 0,76 m, 4 kg",,ONE,,,,88325095,1 vnt.,Early Rider,,,,,,,,,,,,Visos Early Rider prekės,
533,333.0,WeeRide,"Tandeminis dviratis vaikams WeeRide Pro-Pilot 20"", mėlynas",Nenurodyta,,,Vaikiški,Nenurodyta,Dviračiai,,,,"1,5 x 1 x 1 m, 8,75 kg",,Pigu.lt,Nenurodyta,1,,24133110,1 vnt.,WeeRide,Nenurodyta,Nenurodyta,"20 """,4 m.,130-145 cm,Aliuminis,16 cm,"WeeRide, vaikiški dviračiai","Berniukams, 					            Mergaitėms",Nenurodyta,8.75 kg,Visos WeeRide prekės,Nenurodyta
534,659.0,The Sliders,"Sulankstomas dviratis - paspirtukas The-sliders Lite 2 in 1, baltas",Nenurodyta,Su spyruoklėmis,Ne,Sulankstomi,SHIMANO,Dviračiai,,20,Nenurodyta,"1,42 x 0,52 x 0,68 m, 11 kg",,Pigu.lt,3 vidinių pavarų,3,Nenurodyta,29197995,1 vnt.,The Sliders,Nenurodyta,20,"20 """,,160-185 cm,Anglies pluošto,20 cm,"The Sliders, sulankstomi dviračiai",Universalus,Tektro V-brakes,- kg,Visos The Sliders prekės,Aliuminis
535,809.0,The Sliders,"Sulankstomas dviratis-paspirtukas 2in1, The-Sliders Metro, juodas",Nenurodyta,Su spyruoklėmis,Ne,Sulankstomi,Nenurodyta,Dviračiai,,,,"0,72 x 0,75 x 0,26 m, 10,5 kg",,Pigu.lt,3 vidinių pavarų,3,,29198020,1 vnt.,The Sliders,Nenurodyta,Nenurodyta,"20 """,,160-185 cm,Anglies pluošto,20 cm,"The Sliders, sulankstomi dviračiai",Universalus,Tektro V-brakes,- kg,Visos The Sliders prekės,Aliuminis
536,279.95,PUKY,"Dviratis Puky Youke 16-1 Alu, žalias",Nenurodyta,,,Vaikiški,Nenurodyta,Dviračiai,,Ruky,,"1,42 x 0,52 x 0,68 m, 10 kg",,Dviračių arena,Nenurodyta,1,,36481733,1 vnt.,Puky,Nenurodyta,"16"" aliumininiai","16 """,,113-140 cm,Aliuminis,16 cm,"Puky, vaikiški dviračiai",Universalus,V-Brake,8.2 kg,Visos PUKY prekės,Aliuminis
537,311.55,Azimut,"Miesto dviratis AZIMUT City Lux 26"" 2021, baltas/juodas",Nėra,"CityLine, su spyruoklėmis, platus, komfortiškas",Ne,Miesto,Nėra,Dviračiai,,26x1.75,170 x 60 x 30 cm,"1,4 x 0,8 x 0,21 m, 15,5 kg",,PrimeOnline,Nenurodyta,1,Plastikiniai,36482023,1 vnt.,Azimut,Nėra,Dvigubi aliumininiai,"26 """,,160-170 cm,Plieninis,17 cm,"Azimut, miesto dviračiai","Moterims, 					            Universalus","Priekiniai – V-tipo, galiniai – pedalų",17 kg,Visos Azimut prekės,Kieta
538,744.16,Enero,"Triratis reabilitacijai Enero Rower 24"", 6 bėgių, geltonas",Nenurodyta,Nenurodyta,,Triračiai,SHIMANO,Dviračiai,,24x1.75,167x112x72 cm,"1,67 x 0,45 x 0,72 m, 25 kg",,"Pro Baltic, 					            KATARATA, 					            Buying Solutions, 					            Minced",Nenurodyta,6,Plastikiniai,42307823,1 vnt.,Enero,Nenurodyta,Aliumininiai,"24 """,,"160-170 cm, 					            170-180 cm, 					            180-190 cm",Plieninis,24 cm,"Enero, triračiai dviračiai","Moterims, 					            Universalus, 					            Vyrams",V-Brake,25 kg,Visos Enero prekės,Nenurodyta
539,251.99,Volare,"Vaikiškas dviratis Paw Patrol 16""",Nenurodyta,,,Miesto,Nenurodyta,Dviračiai,Šunyčiai patruliai (Paw Patrol),,,"0,9 x 0,45 x 0,7 m, 13,5 kg",,KATARATA,Nenurodyta,Nenurodyta,,43079248,1 vnt.,Volare,Nenurodyta,Nenurodyta,"16 """,4 m.,95-110 cm,Plieninis,18 cm,"Volare, miesto dviračiai",Berniukams,Nenurodyta,- kg,Visos Volare prekės,Nenurodyta
540,563.07,ROMET,"Dviratis Romet Rambler R9.2 2022, 17"", juodas/žalias",Nenurodyta,Vader,Taip,Kalnų,SHIMANO ACERA RDM-360,Dviračiai,,29x2.1,,"1,5 x 0,45 x 0,7 m, 17 kg",,"KATARATA, 					            Minced",Shimano Tourney TX800 3 pavarų / Shimano Tourney TX800 8 pavarų,24,FP-804,46032948,1 vnt.,Romet,Nenurodyta,Aliuminiai sustiprinti,"29 """,,170-180 cm,Aliuminis,17 cm,"Romet, kalnų dviračiai","Moterims, 					            Vyrams",Shimano Tourney TX805,16.7 kg,Visos ROMET prekės,SR Suntour XCE
541,350.97,ROMET,"Kalnų dviratis Romet Rambler R6.1 JR 26"" 2022, mėlynas/žalias",Nėra,Vader,Ne,Kalnų,Shimano Tourney TY300D,Dviračiai,,"26×2,0",180 x 50 x 20 cm,"1,8 x 0,45 x 0,7 m, 18 kg",,"KATARATA, 					            EasyShop, 					            Minced",Shimano ST-EF41 3 pavarų / Shimano ST-EF41 7 pavarų,21,FP-804,46033173,1 vnt.,Romet,Nenurodyta,Dvigubi aliumininiai,"26 """,,180-190 cm,Aliuminis,19 cm,"Romet, kalnų dviračiai","Moterims, 					            Universalus",V-tipo,13.4 kg,Visos ROMET prekės,Amortizuojanti
542,518.27,ROMET,"Kalnų dviratis Romet Rambler R6.2 26"" 2022, raudonas/baltas",Nenurodyta,Vader,Taip,Kalnų,Shimano Tourney TY300D,Dviračiai,,26,,"1,4 x 0,7 x 0,21 m, 15 kg",,"Pro Baltic, 					            Minced",Shimano ST-EF41 3 pavarų / Shimano ST-EF41 7 pavarų,21,FP-804,46033308,1 vnt.,Romet,Nenurodyta,Aliuminiai sustiprinti,"26 """,,"160-170 cm, 					            180-190 cm",Aliuminis,19 cm,"Romet, kalnų dviračiai",Vyrams,Diskiniai mechaniniai,14.2 kg,Visos ROMET prekės,Amortizuojanti
543,623.85,ROMET,"Kalnų dviratis Romet Jolene 7.0 27.5"" 2022, turkio spalvos",Nėra,Romet MTB,Ne,Kalnų,Shimano Altus RD-M310,Dviračiai,,27.5x2.10,,"1,49 x 0,45 x 0,6 m, 16 kg",,Minced,Shimano ST-EF41 3 pavarų / Shimano ST-EF41 7 pavarų,21,FP-804,46033408,1 vnt.,Romet,Nenurodyta,Aliuminiai sustiprinti,"27.5 """,,"132-160 cm, 					            160-170 cm, 					            170-180 cm",Aliuminis,19 cm,"Romet, kalnų dviračiai",Moterims,V-tipo,14.8 kg,Visos ROMET prekės,Amortizuojanti
544,641.3,ROMET,"Miesto dviratis Romet Pop Art Lux 28"" Alu 2022, pilkas",Nėra,Romet City,Ne,Miesto,Shimano Nexus 7 pavarų,Dviračiai,,28x1.75,,"1,4 x 0,7 x 0,69 m, 17 kg",,"GravaLV, 					            Pro Baltic, 					            Minced",Shimano Nexus 7 pavarų,7,FP-804,46034833,1 vnt.,Romet,Nėra,Aliumininiai,"28 """,,"170-180 cm, 					            180-190 cm",Aliuminis,18 cm,"Romet, miesto dviračiai","Moterims, 					            Universalus","Priekiniai – V-tipo, galiniai – pedalų",17.2 kg,Visos ROMET prekės,Kieta
545,599.95,ROMET,"Dviratis Romet Panda 1 24"" Alu, baltas",Yra,,,Kalnų,Shimano Tourney RD-TZ500,Dviračiai,,,,"1,49 x 0,45 x 0,6 m, 20 kg",,Minced,Shimano Revoshift RS-35 3 pavarų / Shimano Revoshift RS-35 7 pavarų,21,,46035458,1 vnt.,Romet,Nenurodyta,Aliuminiai,"24 """,,170-180 cm,Aliuminis,13 cm,"Romet, kalnų dviračiai",Universalus,Alhonga HJ-811AD7,14.4 kg,Visos ROMET prekės,Aliuminis
546,145.0,ROMET,"Dviratis Romet Tom, 12""",Nenurodyta,,,Vaikiški,Nenurodyta,Dviračiai,,,,"2 x 0,5 x 1 m, 20 kg",,"Pigu.lt, 					            Velomarket OÜ, 					            PowerSPORT",Nenurodyta,Nenurodyta,,46035713,1 vnt.,Romet,Nenurodyta,Nenurodyta,"12 """,,90-110 cm,Plieninis,12 cm,"Romet, vaikiški dviračiai","Berniukams, 					            Mergaitėms",Nenurodyta,- kg,Visos ROMET prekės,Nenurodyta
