id,price,brand,brandI,3G:,4G:,5G:,Atminties kortelės talpa:,Atminties kortelės tipas:,Aukštis:,Baterijos talpa (mAh):,Baterijos tipas:,Bluetooth:,Blykstė:,Budėjimo laikas iki:,Ekrano tipas:,Ekrano įstrižainė:,Fotografavimo galimybė:,GPS:,Gamintojo kodas:,Gamintojo procesorius:,Grafinis išdėstymas:,Gylis:,Jungties tipas:,Kategorija:,Kita informacija:,Kolonėlės:,Korpusas:,Maksimali raiška:,Maksimalus naudojimo laikas (val.):,Matmenys:,Operacinė sistema:,Operacinės sistemos versija:,Operatyvinė atmintis (RAM):,Pagrindinė kamera:,Pakuotės išmatavimai ir svoris (1):,Pakuotės išmatavimai ir svoris (2):,Pakuotės turinys* (*komplektacija gali keistis):,Palaikomi formatai:,Palaikomos technologijos:,Pardavėjas:,Plotis:,Prekės ID:,Prekės pakuočių kiekis:,Prekės ženklas:,Priekinė kamera:,Procesoriaus taktinis dažnis:,Procesoriaus tipas:,Rūšis:,SIM:,Skambinimo funkcija:,Skirta vaikams:,Spalva:,Svoris:,USB jungtys:,Vaizdo didinimas:,Vidinė atmintis:,Visos šio ženklo prekės:,WiFi:
83,585.0,Samsung,Samsung Galaxy Tab Active4 Pro 5G 6/128GB SM-T636BZKEEEE,Taip,Taip,Taip,,,17.02 cm,7600 mAh,,Yra,,,TFT LCD multi-touch,"10.1"" (~25.6 cm)",,Glonass,SM-T636BZKEEEE,,,1.02 cm,,Planšetiniai kompiuteriai,,,,1920 x 1200,,,Android 12,,6000 MB,13 MP,"0,19 x 0,22 x 0,14 m, 0,25 kg",,,,,"Pigu.lt, 					            Trajektorija, 					            Kouket, 					            Galador Grupp OÜ, 					            Brandberry, 					            VEFabrika SIA, 					            Pro Baltic, 					            Eventure, 					            Vitalimax, 					            Digizone, 					            Treat Stores, 					            Minced, 					            HG plus, 					            Avesa Trade, 					            KAM Trade SIA, 					            BB-ELECTRONICS, 					            Proshop lt, 					            ovolt",24.29 cm,61273548,1 vnt.,Samsung,8 MP,1.8 GHz,Qualcomm Snapdragon,"Samsung, 10.1"" (~25.6 cm) planšetiniai kompiuteriai",Nano-SIM,,Ne,Juoda,0.674 kg,,,128 GB,Visos Samsung prekės,Yra
84,116.11,Xiaomi,"Xiaomi Redmi Pad SE 8.7"" 4|128 GB szary|graphite gray 58183",,,,,,,,,,,,,,,,"58183,6941812793206",,,,,Planšetiniai kompiuteriai,,,,,,,Android,,,,"0,1 x 0,1 x 0,1 m, 540 kg",,,,,"Pigu.lt, 					            Trajektorija, 					            IT Plus, 					            Kouket, 					            Galador Grupp OÜ, 					            Brandberry, 					            Vitalimax, 					            Fusion Store., 					            Treat Stores, 					            Triksa",,91603565,1 vnt.,XIAOMI,,,,,,,,Pilka,,,,,Visos Xiaomi prekės,
85,126.36,Chuwi,Chuwi Hi10 XPro 4G 4/128GB Grey,Taip,Taip,Ne,512 GB,Micro SDXC,22.51 cm,6000,,Yra,,,IPS,"10.1"" (~25.6 cm)",,Yra,Hi10 X Pro,,,0.91 cm,,Planšetiniai kompiuteriai,,,,800 x 1280,,,Android 13,,4000 MB,5 MP,"0,25 x 0,15 x 0,07 m, 0,7 kg",,,,,"Pigu.lt, 					            Trajektorija, 					            Kouket, 					            Galador Grupp OÜ, 					            Brandberry, 					            Eventure, 					            Vitalimax, 					            shumee, 					            Digitooted OÜ, 					            Treat Stores, 					            Triksa, 					            HG plus, 					            KAM Trade SIA",13.89 cm,73977366,1 vnt.,Chuwi,8 MP,1.6 GHz,Unisoc T606,"Chuwi, 10.1"" (~25.6 cm) planšetiniai kompiuteriai",Nano-SIM,,Ne,Pilka,0.517 kg,USB Type-C,,128 GB,Visos Chuwi prekės,Yra
86,246.79,Lenovo,"Lenovo Tab Plus, 8GB/128GB",Ne,Ne,Ne,,MicroSD,,,,Yra,,,LCD IPS,"11.5"" (~29.21 cm)",,Nenurodyta,Plus TB351FU,,,,,Planšetiniai kompiuteriai,,,,2000 x 1200,,,Android,,8 MB,8,"0,25 x 0,2 x 0,1 m, 0,7 kg",,,,,Pigu.lt,,89819595,1 vnt.,Lenovo,8,,MediaTek Helio G99,"Lenovo, 11.5"" (~29.21 cm) planšetiniai kompiuteriai",,,Ne,Pilka,0.65 kg,,,128,Visos Lenovo prekės,
87,988.33,Samsung,Samsung Galaxy Tab S10+ 4/512GB Silver SM-X820,Nenurodyta,Nenurodyta,Nenurodyta,,,,,,,,,Dynamic AMOLED 2X,"12""",,Yra,SM-X820NZSPEUE,,,,,Planšetiniai kompiuteriai,,,,2800 x 1752,,,Android,,4000 MB,,"0,3 x 0,2 x 0,1 m, 0,5 kg",,,,,"Pigu.lt, 					            Elektronika Internetu, 					            PrimeOnline",,94787373,1 vnt.,Samsung,,,MediaTek,"Samsung, 12"" planšetiniai kompiuteriai",,,Ne,,0.57 kg,,,512 GB,Visos Samsung prekės,
88,445.52,Samsung,Samsung Galaxy Tab S9 FE WiFi 6/128GB Gray SM-X510NZAAEUB,Ne,Ne,Ne,iki 1TB,Micro SD,25.43 cm,8000,Li-Po,Yra,,,LCD TFT,"10.9"" (~27.7 cm)",,Yra,,,,0.65 cm,,Planšetiniai kompiuteriai,IP68,,,2304x1440,,,Android 13,android,6000 MB,8 MP,"0,3 x 0,2 x 0,08 m, 1 kg",,"Kabelis, 					Planšetė, 					S Pen, 					Vartotojo vadovas",,Fingerprint Sensor,"Trajektorija, 					            Kouket, 					            Galador Grupp OÜ, 					            Brandberry, 					            Vitalimax, 					            Digitooted OÜ, 					            Treat Stores, 					            Triksa, 					            HG plus, 					            KAM Trade SIA",16.58 cm,77066619,1 vnt.,Samsung,12 MP,2.4 GHz,Octa-core,"Samsung, 10.9"" (~27.7 cm) planšetiniai kompiuteriai",nėra,,Ne,Pilka,0.524 kg,USB Type-C,,128 GB,Visos Samsung prekės,Yra
89,529.0,Apple,Apple iPad Mini Wi-Fi 64GB Space Gray 6th Gen MK7M3HC/A,Ne,Ne,Ne,,Nėra,19.54 cm,,Li-Ion,Yra,Quad-LED,,IPS,"8.3"" (~21 cm)",,Nėra,MK7M3HC/A,,5-core,0.63 cm,,Planšetiniai kompiuteriai,,Stereo,,2266 x 1488,10,,iPadOS 15,,- MB,12 MP,"0,35 x 0,25 x 0,1 m, 0,4 kg",,,,,Pigu.lt,13.48 cm,47786622,1 vnt.,Apple,12 MP,,A15 Bionic 64‑bit,"Apple, 8.3"" (~21 cm) planšetiniai kompiuteriai",nėra,Ne,Ne,Pilka,0.293 kg,USB Type-C,Skaitmeninis,64 GB (dalis skirta OS),Visos Apple prekės,Yra
90,359.99,Samsung,Samsung Galaxy Tab A8 WiFi 4/128GB SM-X200NZAFEUE,Ne,Ne,Ne,1 TB,Micro SD,24.68 cm,7040,Li-Ion,Yra,nera,,TFT,"10.5"" (~26.5 cm)",Yra,Glonass,SM-X200NZAFEUE,,,0.69 cm,"3.5 mm, 					Bluetooth, 					USB 2.0",Planšetiniai kompiuteriai,,Yra,Metalinis,1200 x 1920,,161.9 x 246.8 x 6.9,Android,Android OS,4096 MB,8 MP,"0,19 x 0,22 x 0,14 m, 0,25 kg",,Planšetė,,"Akcelerometras, 					Atminties kortelių skaitytuvas, 					Bluetooth, 					Giroskopas, 					GPS, 					Greitas įkrovimas, 					Šviesos jutiklis, 					Wi-Fi, 					Wi-Fi Direct","Pro Baltic, 					            KATARATA",16.19 cm,49033069,1 vnt.,Samsung,5 MP,2 GHz,Nenurodyta,"Samsung, 10.5"" (~26.5 cm) planšetiniai kompiuteriai",nėra,,Taip,Pilka,0.508 kg,USB 2.0,,128 GB (dalis skirta OS),Visos Samsung prekės,Yra
91,58.34,,7 colių planšetinis kompiuteris vaikams,Nenurodyta,Nenurodyta,Nenurodyta,,,,,,,,,Jutiklinis ekranas,7'' (~17.78 cm),,Nenurodyta,2612220262013,,,,,Planšetiniai kompiuteriai,,,,Nenurodyta,,,Android 7.0,,8 MB,,"0,23 x 0,15 x 0,05 m, 0,46 kg",,,,,Pleazur,,102027606,1 vnt.,Nenurodyta,,,Nenurodyta,"Nenurodyta, 7'' (~17.78 cm) planšetiniai kompiuteriai",,,Taip,,- kg,,,32 GB,Visos Nenurodyta prekės,
92,134.99,Mytouch,"My Touch X10 ,64GB, 4G LTE, 4GB RAM, pilka , su dėklu",Taip,Taip,Ne,256 GB,Micro SD,,7500,7000 mAh,,yra,,FHD,"10.1"" (~25.6 cm)",13 Mpix + 5 Mpix,Yra,,MediaTek,,,"3.5 mm, 					Micro SIM, 					Micro USB, 					USB-C",Planšetiniai kompiuteriai,,Integruotos,Aliumininis korpusas,1280 x 800,,,Android 10.0,,4048 MB,13 MP,"0,29 x 0,2 x 0,07 m, 1,095 kg",,"Dėklas, 					Įkroviklis, 					Kabelis, 					Planšetė, 					Vartotojo vadovas",".aac, .avc, .avi, .flac, .gif, .jpg, .mkv, .mp3, .mpeg, .png, .vob, .wav, .wma, .wmv",,Sale24,,62433983,1 vnt.,Mytouch,5 MP,2.3 GHz,MTK6797 Deca core,"Mytouch, 10.1"" (~25.6 cm) planšetiniai kompiuteriai",2 SIM kortelių lizdai,Taip,Taip,Pilka,0.4 kg,USB Type-C,Yra,64 GB (dalis skirta OS),Visos Mytouch prekės,802.11 a/b/g/n/ac
93,706.29,Samsung,Samsung Galaxy Tab S9 FE 5G 8/256 GB Grey,Nenurodyta,Nenurodyta,Taip,,,,,,Yra,,,TFT,"27.7 cm (10.9"")",,Yra,SM-X516BZAEEUB,,,,,Planšetiniai kompiuteriai,,,,2304 x 1440,,,Android 13,,8000 MB,8 MP,"0,1 x 0,1 x 0,1 m, 0,77 kg",,,,,"Trajektorija, 					            Galador Grupp OÜ, 					            Brandberry, 					            Treat Stores, 					            Avesa Trade, 					            ovolt",,77427579,1 vnt.,Samsung,12 MP,,Samsung Exynos,"Samsung, 27.7 cm (10.9"") planšetiniai kompiuteriai",,,Ne,Pilka,0.524 kg,,,256 GB,Visos Samsung prekės,Wi-Fi 5 (802.11ac)
94,275.6,Samsung,Samsung Galaxy Tab S6 Lite 2024 Gray (SM-P620NZAAEUE),Ne,Ne,Ne,,Micro SDXC,,,Li-Po,Yra,,,TFT,10.4'' (~26.31 cm),,Yra,S6 Lite (P620) (2024),,,,,Planšetiniai kompiuteriai,,,,2000 x 1200,,,Android,,4000 MB,8,"0,35 x 0,25 x 0,1 m, 0,4 kg",,,,,"IT Plus, 					            Galador Grupp OÜ, 					            Brandberry, 					            Digizone, 					            Treat Stores, 					            Triksa, 					            HG plus, 					            KAM Trade SIA",,82306490,1 vnt.,Samsung,5,,Nenurodyta,"Samsung, 10.4'' (~26.31 cm) planšetiniai kompiuteriai",,,Ne,Pilka,0.465 kg,,,64 GB,Visos Samsung prekės,Yra
95,249.95,Xiaomi,Xiaomi Redmi Pad Pro 6/128Gb Mint Green,Ne,Ne,Ne,,,,,,,,,IPS LCD,"12.1""",,Yra,PAD_PRO_6/128_4G_GREEN,,,,,Planšetiniai kompiuteriai,,,,2560 x 1600,,,"Android, 					            MIUI",,6000 MB,,"0,25 x 0,18 x 0,12 m, 0,4 kg",,,,,"Galador Grupp OÜ, 					            Infinity Game SIA",,92408359,1 vnt.,XIAOMI,,,Qualcomm Snapdragon,"XIAOMI, 12.1"" planšetiniai kompiuteriai",,,Nenurodyta,,0.515 kg,,,128 GB,Visos Xiaomi prekės,
96,293.9,Samsung,Samsung Tab S6 Lite SM-P620 4/64GB DS WiFi Oxford Gray,Nenurodyta,Nenurodyta,Nenurodyta,,,,,,,,,TFT,"10.4""",,Nenurodyta,SM-P620NZAAEUB,,,,,Planšetiniai kompiuteriai,,,,2000 x 1200,,,Android,android,4000 MB,,"0,26 x 0,16 x 0,02 m, 0,66 kg",,,,,"Pigu.lt, 					            Galador Grupp OÜ, 					            Digizone, 					            Treat Stores, 					            Triksa",,81904940,1 vnt.,Samsung,,,Nenurodyta,"Samsung, 10.4"" planšetiniai kompiuteriai",,,Nenurodyta,,- kg,,,64 GB,Visos Samsung prekės,
97,234.03,Xp-pen,Grafinis planšetinis kompiuteris XP- Pen Artist 12 Pro,Nenurodyta,Nenurodyta,Nenurodyta,,,,,,,,,Nenurodyta,"11.6"" (~30 cm)",,Nenurodyta,Artist 12 Pro,,,,,Planšetiniai kompiuteriai,,,,1920 x 1080,,,Nenurodyta,,- MB,,"0,35 x 0,25 x 0,1 m, 0,4 kg",,,,,"Pigu.lt, 					            KATARATA, 					            ovolt",,49929873,1 vnt.,XP-Pen,,,Nenurodyta,"XP-Pen, 11.6"" (~30 cm) planšetiniai kompiuteriai",,,Nenurodyta,,2.7 kg,,,Nenurodyta,Visos Xp-pen prekės,
98,270.55,Xiaomi,Xiaomi Redmi Pad Pro 12.1 6GB/128GB Mint Green,Ne,Ne,Ne,,,,,,,,,LCD,"12.1""",,Nėra,56165,,,,,Planšetiniai kompiuteriai,,,,2560 x 1600,,,Android 14,,6000 MB,,"0,35 x 0,25 x 0,1 m, 0,4 kg",,,,,"Pigu.lt, 					            Kouket, 					            Treat Stores, 					            Triksa, 					            Avesa Trade",,86062840,1 vnt.,XIAOMI,,,Nenurodyta,"XIAOMI, 12.1"" planšetiniai kompiuteriai",,,Ne,,0.57 kg,,,128,Visos Xiaomi prekės,Yra
99,300.07,Samsung,Samsung Galaxy Tab A8 WiFi 4/64GB SM-X200NZAEEUE,Ne,Ne,Ne,1 TB,Micro SD,16.19 cm,7040,Li-Po,Yra,nera,,TFT,"10.5"" (~26.5 cm)",,Yra,SM-X200NZAEEUE,,,0.69 cm,"3.5 mm, 					Bluetooth",Planšetiniai kompiuteriai,,Integruotos,Metalinis,1920x1200,,161.9 x 246.8 x 6.9,Android 11,android,4000 MB,8 MP,"0,235 x 0,17 x 0,04 m, 0,79 kg",,Planšetė,,"Akcelerometras, 					Atminties kortelių skaitytuvas, 					Bluetooth, 					Giroskopas, 					GPS, 					Greitas įkrovimas, 					Šviesos jutiklis, 					USB 2.0, 					Wi-Fi, 					Wi-Fi Direct","KATARATA, 					            Minced",24.68 cm,48950259,1 vnt.,Samsung,5 MP,2 GHz,Unisoc T618,"Samsung, 10.5"" (~26.5 cm) planšetiniai kompiuteriai",,,Ne,Pilka,0.508 kg,USB Type-C,,64 GB (dalis skirta OS),Visos Samsung prekės,Yra
100,232.44,Lenovo,Lenovo Tab M11 ZADB0018PL,Taip,Taip,Ne,,,,,,,,,IPS,11'' (~27.9 cm),,Yra,ZADB0018PL,,,,,Planšetiniai kompiuteriai,,,,1920 x 1200,,,Android 13,,4000 MB,,"0,22 x 0,16 x 0,09 m, 0,6 kg",,,,,"IT Plus, 					            Kouket, 					            Galador Grupp OÜ, 					            Brandberry, 					            Vitalimax, 					            Digitooted OÜ, 					            Avesa Trade, 					            KAM Trade SIA",,81117387,1 vnt.,Lenovo,,,MediaTek Helio G88,"Lenovo, 11'' (~27.9 cm) planšetiniai kompiuteriai",,,Ne,Pilka,0.465 kg,,,128,Visos Lenovo prekės,Yra
101,183.3,Lenovo,Lenovo Tab M11 Luna Grey ZADA0134SE,Ne,Ne,Ne,,MicroSD,,,Nenurodyta,Yra,,,IPS,11,,Yra,M11 TB330FU,,,,,Planšetiniai kompiuteriai,,,,1920 x 1200,,,Android,,4000 MB,8,"0,15 x 0,08 x 0,14 m, 0,15 kg",,,,,"Pigu.lt, 					            Smartonly, 					            IT Plus, 					            Kouket, 					            Galador Grupp OÜ, 					            Brandberry, 					            Eventure, 					            Vitalimax, 					            Minced, 					            Store24, 					            Avesa Trade, 					            KAM Trade SIA, 					            ovolt",,79771090,1 vnt.,Lenovo,8,,MediaTek Helio G88,"Lenovo, 11 planšetiniai kompiuteriai",,,Ne,Pilka,0.465 kg,,,128,Visos Lenovo prekės,Yra
102,729.0,Apple,"iPad Air 11"" M2 Wi-Fi 128GB - Blue - MUWD3HC/A",Ne,Ne,Ne,,Nėra,24.76 cm,,Lithium Polymer (LiPo),Yra,,10 val.,Liquid Retina,"11"" (27.9 cm)",Yra,Nėra,MUWD3HC/A,,,0.61 cm,USB-C,Planšetiniai kompiuteriai,,Stereo,Aliumininis korpusas,2360 x 1640,10,,"iPadOS, 					            iPadOS 17",iPadOS 17,8000 MB,12 MP,"0,35 x 0,25 x 0,1 m, 0,4 kg",,"Įkroviklis, 					Kabelis",,,"Pigu.lt, 					            Smartonly, 					            Galador Grupp OÜ, 					            Brandberry",17.85 cm,84183032,1 vnt.,Apple,12 MP,,Apple M2,"Apple, 11"" (27.9 cm) planšetiniai kompiuteriai",nėra,Ne,Ne,Mėlyna,0.462 kg,USB Type-C,,128 GB,Visos Apple prekės,802.11ax
103,65.88,Kruger & Matz,Kruger & Matz Eagle 806 Black (KM0806),Taip,Taip,Taip,,,,,,Yra,,,IPS,"8"" (~20.32 cm)",,Yra,"5901890102094,KM0806.1",,,,,Planšetiniai kompiuteriai,,,,1280 x 800,,,Android 13,,3000 MB,,"0,27 x 0,15 x 0,04 m, 0,6 kg",,,,,"Pigu.lt, 					            Kouket, 					            Galador Grupp OÜ, 					            Brandberry, 					            ABC Žaislai, 					            shumee, 					            HyperShop",,78765453,1 vnt.,Kruger & Matz,,,ARM Cortex-A55,"Kruger & Matz, 8"" (~20.32 cm) planšetiniai kompiuteriai",,,Ne,,0.38 kg,,,32 GB,Visos Kruger & Matz prekės,Yra
104,127.67,eSTAR,eSTAR URBAN Tablet LTE IPS screen 4/64GB,Taip,Taip,Ne,,Micro SD,250.1 cm,5000,5000 mAh,Yra,,300 val.,Bright IPS display,"10.1"" (~25.6 cm)",5,Yra,"5291020798137,891103943,TBETEST00001BK",,,7.8 cm,USB,Planšetiniai kompiuteriai,,Stereo,,1200 x 1920,,250.1 x 171 x 7.8mm,Android 10.0,Android 10,4096 MB,5 MP,"0,19 x 0,22 x 0,14 m, 0,25 kg",,,,,Pigu.lt,,34768719,1 vnt.,eStar,2 MP,2.0 GHz,MediaTek MT8768,"eStar, 10.1"" (~25.6 cm) planšetiniai kompiuteriai",Nano-SIM,Taip,Ne,Juoda,0.5 kg,,,64 GB (dalis skirta OS),Visos eSTAR prekės,
105,305.17,Xiaomi,Xiaomi Poco Pad 8GB/256GB Blue,Nenurodyta,Nenurodyta,Nenurodyta,,,,,,,,,IPS,"12.1""",,Nėra,,,,,,Planšetiniai kompiuteriai,,,,1600 x 2560,,,"Android, 					            Android 14",,8000 MB,,"0,11 x 0,1 x 0,1 m, 0,1 kg",,,,,"Pigu.lt, 					            Kouket, 					            Galador Grupp OÜ, 					            Brandberry, 					            Vitalimax, 					            Digitooted OÜ, 					            Treat Stores, 					            Triksa, 					            Avesa Trade, 					            Proshop lt",,94622233,1 vnt.,XIAOMI,,,Snapdragon 7s Gen 2,"XIAOMI, 12.1"" planšetiniai kompiuteriai",,,Ne,Mėlyna,1.03 kg,,,256 GB,Visos Xiaomi prekės,
106,361.14,Lenovo,Lenovo Tab P12 ZACH0204SE,Ne,Ne,Ne,,MicroSD,,,102000,Yra,,,LCD,12.7,,Nenurodyta,P12 TB370FU,,,,,Planšetiniai kompiuteriai,,,,2944 x 1840,,,Android,,8 MB,8,"0,29 x 0,19 x 0,01 m, 0,4 kg",,,,,"Pigu.lt, 					            Smartonly",,92393760,1 vnt.,Lenovo,13 MP,,MediaTek Dimensity 7050,"Lenovo, 12.7 planšetiniai kompiuteriai",,,Nenurodyta,,- kg,,,256,Visos Lenovo prekės,Yra
107,123.06,Blackview,Blackview Tab 60 4G 6/128GB lron Grey,Taip,Taip,Ne,iki 1TB,Micro SDXC,21.17 cm,6050,,Yra,,,IPS LCD,"8"" (~20.32 cm)",Yra,Yra,"BVTAB60-G,Tab60-6/128-GY/BV",,,0.84 cm,3.5 mm,Planšetiniai kompiuteriai,,Yra,,1340 x 800,,,Android 13,,6000 MB,8 MP,"0,3 x 0,2 x 0,1 m, 1 kg",,,,,"Pigu.lt, 					            Trajektorija, 					            Kouket, 					            Galador Grupp OÜ, 					            Brandberry, 					            Store24, 					            KAM Trade SIA",12.44 cm,78682423,1 vnt.,Blackview,5 MP,1.6 GHz,Unisoc T606,"Blackview, 8"" (~20.32 cm) planšetiniai kompiuteriai",Nano-SIM,,Ne,Pilka,0.338 kg,USB Type-C,,128 GB,Visos Blackview prekės,Yra
108,264.61,Lenovo,Lenovo Tab M10 Blue ZACT0011SE,Taip,Taip,Taip,iki 1TB,Micro SD,25.27 cm,7700,,Yra,LED,,IPS,"10.61""",,Yra,ZACT0011SE,,,0.83 cm,3.5 mm,Planšetiniai kompiuteriai,,,,2000 x 1200,,,Android,,6000 MB,13 MP,"0,04 x 0,27 x 0,17 m, 0,85 kg",,,,,"Pigu.lt, 					            Smartonly, 					            W-Warehouse, 					            Galador Grupp OÜ, 					            Digitooted OÜ, 					            TOPnuolaidos LT, 					            Avesa Trade",16.03 cm,74907551,1 vnt.,Lenovo,8 MP,,Qualcomm Snapdragon 695,"Lenovo, 10.61"" planšetiniai kompiuteriai",Nano-SIM,,Ne,Mėlyna,0.490 kg,USB Type-C,,128 GB,Visos Lenovo prekės,Yra
109,193.84,Huawei,"Huawei MediaPad T3 10"", 16GB, WiFi, Pilka",Ne,Ne,Ne,,,16 cm,4800,Li-Ion,Yra,,,IPS,"10"" (~25.4 cm)",,Yra,T3,Qualcomm,Nenurodyta,0.8 cm,3.5 mm,Planšetiniai kompiuteriai,,,,1280 x 800,Nenurodyta,,Android OS,Android™ 7.0,2048 MB,5 MP,"0,19 x 0,22 x 0,14 m, 0,25 kg",,Kabelis,,"Akcelerometras, 					Atminties kortelių skaitytuvas, 					Bluetooth, 					divx, 					Geo-tagging, 					IPS, 					LED, 					Multi-Touch, 					No, 					usb, 					Wi-Fi, 					xvid","Pro Baltic, 					            KATARATA",23 cm,16120755,1 vnt.,Huawei,2 MP,1.4 GHz,Nenurodyta,"Huawei, 10"" (~25.4 cm) planšetiniai kompiuteriai",,,Ne,Pilka,0.46 kg,Micro USB,,16 GB (dalis skirta OS),Visos Huawei prekės,Yra
110,46.7,WACOM,Wacom CTL-682-S,Ne,Ne,Ne,,,,,,,,,Nenurodyta,Nenurodyta,,Nenurodyta,CTL-672-S,,,9 cm,USB,Planšetiniai kompiuteriai,,,,Nenurodyta,,,Nenurodyta,Windows 7,- MB,,"0,35 x 0,25 x 0,1 m, 0,4 kg",,,,,"Pigu.lt, 					            Galador Grupp OÜ, 					            Brandberry, 					            KATARATA",,20215220,1 vnt.,Wacom,,,Nenurodyta,"Wacom, nenurodyta planšetiniai kompiuteriai",,,Ne,"Juoda, 					            Raudona",0.45 kg,,,Nenurodyta,Visos WACOM prekės,
111,52.4,,"Android planšetinis kompiuteris su klaviatūra aštuonių branduolių procesorius, talpa 1 TB",,,,,,,,,,,,,,,,Z-FD-PHH-FYZB-3195,,,,,Planšetiniai kompiuteriai,,,,,,,,,,,"0,1 x 0,1 x 0,1 m, 0,1 kg",,,,,Ulisem,,104722116,1 vnt.,,,,,,,,,,,,,,,
112,15.32,,"Planšetinio kompiuterio stovas, universalus kelių kampų neslystantis reguliuojamas laikiklis",,,,,,,,,,,,,,,,FFWD-130466,,,,,Planšetiniai kompiuteriai,,,,,,,,,,,"0,1 x 0,1 x 0,1 m, 0,4 kg",,,,,HNANRE STORE,,112717391,1 vnt.,,,,,,,,,,,,,,,
113,545.99,Xiaomi,XIAOMI Pad 5 6/256GB Cosmic Gray planšetinis kompiuteris,Ne,Ne,Ne,,,,,8720,Yra,,16 val.,IPS LCD,11'' (~27.9 cm),13 Mpix,Yra,,,,,,Planšetiniai kompiuteriai,,,,1600 x 2560,,,Android,,6000 MB,13,"0,19 x 0,22 x 0,14 m, 0,25 kg",,,,,KATARATA,,56144793,1 vnt.,XIAOMI,8,,Qualcomm® Snapdragon™ 860,"XIAOMI, 11'' (~27.9 cm) planšetiniai kompiuteriai",,,Ne,Pilka,0.511 kg,USB Type-C,,256 GB (dalis skirta OS),Visos Xiaomi prekės,Yra
114,212.79,Blackview,Blackview Tab 80 LTE 4/64GB Mint Green,Taip,Taip,Ne,iki 1TB,Micro SDXC,24.1 cm,7680,Non-removable Li-Ion,Yra,Nenurodyta,,IPS LCD,"10.1"" (~25.6 cm)",Yra,Yra,"Tab80-4/64-GN/BV,TAB804/64GBGREEN",Unisock T606,,0.75 cm,3.5 mm,Planšetiniai kompiuteriai,,Yra,,1280 x 800,,,Android 13,,4096 MB,13 MP,"0,3 x 0,2 x 0,1 m, 1,1 kg",,,,Dviguba SIM,"Pro Baltic, 					            KATARATA",15.6 cm,76994714,1 vnt.,Blackview,5 MP,1.6 GHz,Octa-core,"Blackview, 10.1"" (~25.6 cm) planšetiniai kompiuteriai",Yra,,Ne,Žalia,0.485 kg,USB Type-C,,64 GB (dalis skirta OS),Visos Blackview prekės,Yra
115,609.0,Apple,Apple iPad mini (A17 Pro) Wi-Fi 128GB - Space Grey MXN63HC/A,Ne,Ne,Ne,,Nėra,19.54 cm,4441,Li-Ion,Yra,Quad-LED dual-tone flash,,Liquid Retina Multi‑Touch IPS,"8.3"" (~21 cm)",,Nėra,MXN63HC/A,,5-core,0.63 cm,,Planšetiniai kompiuteriai,,Stereo,Aliumininis korpusas,2266 x 1488,10,,iPadOS 18,,- MB,12 MP,"0,35 x 0,25 x 0,1 m, 0,25 kg",,,,,"Pigu.lt, 					            Galador Grupp OÜ",13.48 cm,99007557,1 vnt.,Apple,12 MP,Hexa-core (2x3.78 GHz + 4x2.11 GHz),Apple A17 Pro (3 nm),"Apple, 8.3"" (~21 cm) planšetiniai kompiuteriai",nėra,Ne,Ne,Juoda,0.293 kg,"USB Type-C 3.2 Gen 2, DisplayPort",Skaitmeninis,128 GB,Visos Apple prekės,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, hotspot"
116,270.55,Blackview,Blackview Active 8 Pro 256GB 4G,Taip,Taip,Ne,,Micro SDXC,25.65 cm,22000,Non-removable Li-Ion,Yra,yra,,IPS LCD,10.36,Yra,Yra,"ACTIVE8PROBLACK,BVACTIVE8_PRO-B",MediaTek Helio G99,,1.69 cm,"3.5 mm, 					USB-C",Planšetiniai kompiuteriai,,Yra,Sustiprinta konstrukcija,1200 x 2000,,,Android 12,12 Doke OS P3.0,8192 MB,48 MP,"0,22 x 0,23 x 0,15 m, 2 kg",,,,,"Pigu.lt, 					            Galador Grupp OÜ, 					            Brandberry, 					            Viskasnamams COM, 					            PrimeOnline, 					            Store24",16.9 cm,76037447,1 vnt.,Blackview,16 MP,2x2.2 + 6x2 Octacore,MediaTek MT8781,"Blackview, 10.36 planšetiniai kompiuteriai",2 SIM kortelių lizdai,,Nenurodyta,Juoda,0.98 kg,USB Type-C,,256 GB (dalis skirta OS),Visos Blackview prekės,802.11 a/b/g/n/ac
117,76.98,,"10,1 colio planšetinis kompiuteris, skirtas Android 11.0 2,4G 5G WiFi 6GB 128GB 1920x1200 IPS priekinis 5MP galinis 13MP skambinimo planšetinis kompiuteris 100?240V juodas EU kištukas",Nenurodyta,Taip,Taip,,,,,,,,,IPS,"10.1""",,Nenurodyta,2612220346011,,,,,Planšetiniai kompiuteriai,,,,1920 x 1200,,,Android 11,,6 MB,,"0,3 x 0,2 x 0,06 m, 0,81 kg",,,,,Pleazur,,102022696,1 vnt.,Nenurodyta,,,Nenurodyta,"Nenurodyta, 10.1"" planšetiniai kompiuteriai",,,Nenurodyta,,- kg,,,128 GB,Visos Nenurodyta prekės,
