id,title,price,brand,Montavimo tipas,Energijos klasė,Valdymas,Spalva,Talpa (L),Tipas,Aukštis (cm),Plotis,Gylis,Metinės energijos sąnaudos,Garso lygio klasė,Gamintojas
144,"Šaldytuvas Bosch KGN497ICT 4 serija, Nerūdijančio plieno (atsparus pirštų antspaudams)",952.53,,Laisvai statomi,C,,Sidabrinė,440.0,Su kamera apačioje,203.0,,,,,Bosch
145,Šaldytuvas Gorenje R619EEW5,461.59,Gorenje,Laisvai pastatomos,E,Vidinis elektroninis valdymas,Balta,398.0,Fridge without freezer,185.0,59.5,66.3,123,C,Gorenje
146,Šaldytuvas-šaldiklis Bosch KGV58VLEAS,659.99,Bosch,Laisvai statomi,E,,Sidabrinė,376.0,Su kamera apačioje,191.0,,,,,Bosch
147,Šaldytuvas Severinas RKS 8833,355.99,Severin,Laisvai pastatoma,D,,Ruda,108.0,Su kamera viduje,89.5,55.0,61.5,,,Severin
148,Šaldytuvas Electrolux LRB3DE18S,691.99,Electrolux,Pastatytas,E,Internal touch control LCD,Balta,311.0,Fridge without freezer,177.2,54.0,54.9,114,B,Electrolux
149,"BEKO Šaldytuvas RCSA240K40SN, Energy class E, Height 153cm, Inox",309.99,Beko,Laisvai statomi,E,,Nerūdijantis plienas,229.0,Šaldytuvas-Šaldytuvas,153.0,540 mm,574 mm,,,Beko
150,"Bosch Bsh Fclg Giengen Serija 6, Įmontuojamasis šaldytuvas, 177.5 x 56 cm, švelniai uždaromas plokščias vyris KIR81ADD0",799,,Įmontuojami,D,,Balta,310.0,Be kameros,177.5,,,,,Bosch
151,Šaldytuvas MPM-46-CJ-02/E,116.99,MPM,Laisvai statomi,E,,Juoda,41.0,Mini,51.0,,,,,MPM
152,"Šaldytuvas Bosch KGN367WCT 4 serija, Baltos spalvos",792.49,,Laisvai statomi,C,,Balta,321.0,Su kamera apačioje,186.0,,,,,Bosch
153,145 cm įmontuojamas šaldytuvas Electrolux LNT3LE14S,458.36,Electrolux,Pastatytas,E,Jutiklinis valdymas,Balta,217.0,Šaldytuvas su apatiniu šaldikliu,144.1,54.0,54.9,159,B,Electrolux
154,LIEBHERR ICSe 5122 Įmontuojamas šaldytuvas-šaldiklis,1089.99,Liebherr,Pastatytas,E,Internal touch control LCD,Balta,212.0,Šaldytuvas su apatiniu šaldikliu,177.2,56.0,55.0,199,B,Liebherr
155,"BEKO Šaldytuvas RCSA300K40SN, Energy class E, Height 181 cm, Inox",349.99,Beko,Laisvai statomi,E,,Nerūdijantis plienas,204.0,Šaldytuvas-Šaldytuvas,181.0,540 mm,574 mm,,,Beko
156,Šaldytuvas Electrolux LXB2AE82S,396.99,Electrolux,Pastatytas,E,Mechaninis,Balta,127.0,Fridge without freezer,81.9,56.0,54.7,92,C,Electrolux
157,Šaldytuvas Snaigė RF56SM-S5EP2E0,402.75,Snaigė,Laisvai pastatomos,E,Mechaninis,Tamsiai pilka,200.0,Šaldytuvas su apatiniu šaldikliu,185.0,60.0,65.0,228,C,Snaigė
158,"Bosch Bsh Fclg Giengen Serija 4, Įmontuojamasis šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje, 193.5 x 69.1 cm, slankiojantis vyris KBN96VSE0",1171.69,,Įmontuojami,E,,Balta,285.0,Su kamera apačioje,193.5,,,,,Bosch
159,INDESIT SI6 2 W Šaldytuvas,309.99,Indesit,Laisvai statomi,E,,Balta,323.0,Šaldytuvas,167.0,595 mm,645 mm,,,Indesit
160,Ravanson šaldytuvas-šaldiklis retro lkk-250rb,515.99,Ravanson,Laisvai statomi,E,,Juoda,,Su kamera apačioje,184.2,"54,5 cm","58,5 cm",,,Ravanson
161,Šaldytuvas Samsung BRB30603EWW,666.47,Samsung,Įmontuojami,E,,Balta,224.0,Su kamera apačioje,193.5,,,,,Samsung
162,"Bsh Fclg Giengen Serija 2, Įmontuojamasis šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje, 193.5 x 54.1 cm, slankiojantis vyris KIN96NSE0",1107.49,,Įmontuojami,E,,Balta,75.0,Su kamera apačioje,193.5,,,,,Bsh Fclg Giengen
163,"Šaldytuvas Ravanson LKK-210RC (545mm x 1470mm x 585mm, 157l, A++ klasė, kreminės spalvos)",428.97,Ravanson,Laisvai statomi,E,,Kreminė,157.0,Su kamera viršuje,147.0,,,,,Ravanson
164,MPM Šaldytuvas 335 l (balta),349.99,MPM,Laisvai statomi,E,,Balta,331.0,Laisvai pastatomas,170.0,60.00,60,,,MPM
165,"Bosch Bsh Fclg Giengen Serija 2, Įmontuojamasis šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje, 177.2 x 54.1 cm, slankiojantis vyris KIV86NSE0",617.10,,Įmontuojami,E,,Balta,84.0,Su kamera apačioje,177.2,,,,,Bosch
166,"Bosch Bsh Fcli Cerkezkoy Serija 4, Laisvai statomas šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje, 203 x 60 cm, Baltas KGN39VWEQ",574.26,,Laisvai statomi,A++,,Balta,279.0,Su kamera apačioje,203.0,,,,,Bosch
167,"Šaldytuvas Amica RETRO KGC15630R (550mm x 1440mm x 615 mm, 164 l, Class A++, red color)",509.99,Amica,Laisvai statomi,A++,,Raudona,210.0,Su kamera viršuje,144.0,550 mm,516 mm,172 kWh,,Amica
168,Šaldytuvas Electrolux ENP7TD75S,1053.90,Electrolux,Pastatytas,D,Touch control with LCD,Balta,287.0,Šaldytuvas su apatiniu šaldikliu,188.4,69.6,54.9,197,B,Electrolux
169,Ravanson šaldytuvas-šaldiklis LKK-50E,126.99,Ravanson,Laisvai statomi,E,,Balta,41.0,Laisvai pastatomas,48.5,51.00,45,,,Ravanson
170,Šaldytuvas Gorenje RF4142PW4,256.80,Gorenje,Laisvai pastatomos,E,Mechaninis,Balta,206.0,Fridge with top freezer,143.4,55.0,54.2,176,C,Gorenje
171,Candy Šaldytuvas | CNCQ2T620EW | Energy efficiency class E | Free standing | Combi | Height 205 cm | No Frost system | Šaldytuvas net capacity 289 L | Šaldiklis net capacity 120 L | Ekranas | 38 dB | Baltas,429.11,Candy,Laisvai statomi,E,,Balta,289.0,Laisvai pastatomas,205.0,59.5,66.7,,,Candy
172,LIEBHERR CTe 2131 Šaldytuvas su šaldikliu viršuje,399.99,Liebherr,Laisvai pastatomos,E,Mechaninis,Balta,196.0,Fridge with top freezer,1.294,55.0,63.0,181,C,Liebherr
173,"Šaldytuvas Bosch KSV36NWEP 2 serija, Baltos spalvos",599.99,,Laisvai statomi,A++,,Balta,346.0,Be kameros,186.0,,,,,Bosch
174,Scandomestic Coca-Cola FiftyCube šaldytuvas,189.99,Scandomestic,,,,,,Mini,177.5,0.45,0.5,,,Scandomestic
175,Šaldytuvas Scancool mini baras su stiklinėmis durelėmis Scandomestic 32L,229.99,Scancool,Laisvai pastatoma,D,,Juoda,32.0,Mini,,38.5,45.5,,,Scancool
176,šaldytuvas-šaldiklis MPM-185-KB-40,229.99,MPM,Laisvai statomi,E,,Balta,114.0,Laisvai pastatomas,,55,57,,,MPM
177,Šaldytuvas BEKO RCNA305K40WN,378.70,Beko,,,,,,Su kamera apačioje,,,,,,Beko
178,Šaldytuvas Gorenje R492PW,199.37,,Laisvai statomi,E,,Balta,133.0,Be kameros,84.5,,,,,Gorenje
179,Ravanson šaldytuvas-šaldiklis retro lkk-250rc,509.69,Ravanson,Laisvai statomi,E,,Smėlio spalvos,186.0,Su kamera apačioje,184.3,"54,5 cm","58,5 cm",,,Ravanson
180,šaldytuvas-šaldiklis MPM-108-KB-44,219.99,MPM,Laisvai statomi,E,,Juoda,72.0,Laisvai pastatomas,,48,49,,,MPM
181,Goddess Šaldytuvas | GODRME085GW8SSE | Energy efficiency class E | Free standing | Larder | Height 85 cm | Šaldytuvas net capacity 88 L | 39 dB | Baltas,149.99,Goddess,Laisvai statomi,E,,Balta,88.0,Be kameros,85.0,,,,,Goddess
182,"WHIRLPOOL Šaldytuvas W7X 92I OX, E energijos klasė, 202,7 cm, No Frost, Inox",469.99,Whirlpool,Laisvai statomi,E,,Nerūdijantis plienas,263.0,Šaldytuvas-Šaldytuvas,202.7,596 mm,678 mm,,,Whirlpool
183,Įmontuojamas šaldytuvas Beko BU1154N,259.99,Beko,Įmontuojami,G,,,,,818.0,,,,,Beko
184,190cm laisvai pastatomas šaldytuvas su šaldikliu Indesit LI8 S2E S,349.99,Indesit,Laisvai statomi,E,,Sidabrinė,228.0,Laisvai pastatomas,188.9,59.5,65.5,,,Indesit
185,Šaldytuvas HISENSE RB645N4BIE,649.99,Hisense,Laisvai pastatoma,E,,Nerūdijantis plienas,495.0,Su kamera apačioje,200.0,70.4,69.4,,,Hisense
186,Šaldytuvas Bosch KTL15NWEB,393.90,,Laisvai statomi,E,,Balta,106.0,"Mini
Su kamera viduje",85.0,,,,,Bosch
187,Šaldytuvas Snaigė RF57SM-S5JJ2E0,433.24,Snaigė,Laisvai pastatomos,E,Mechaninis,Juoda,175.0,Šaldytuvas su apatiniu šaldikliu,194.5,60.0,65.0,232,C,Snaigė
188,Šaldytuvas MPM-46-CJ-07,120.99,MPM,,E,,,45.0,Mini,50.0,,,,,MPM
189,Whirlpool šaldytuvas-šaldiklis W55VM1120W2WS,219.99,Whirlpool,Laisvai statomi,E,,Balta,105.0,Laisvai pastatomas,83.8,54,59.5,,,Whirlpool
190,Candy Table Top Šaldytuvas | CHASD4385EBC | Energy efficiency class E | Free standing | Larder | Height 85 cm | Šaldytuvas net capacity 90 L | 37 dB | Juodas,132.99,Candy,Laisvai statomi,E,,,90.0,Be kameros,85.0,,,,,Candy
191,šaldytuvas-šaldiklis MPM-108-KB-43,229.99,MPM,Laisvai statomi,E,,Balta,72.0,Laisvai pastatomas,,48,49,,,MPM
192,"Šaldytuvas Electrolux LNT9ME36W3 800-sarjan jääkaappipakastin, valkoinen, 2m",634.99,Electrolux,,,,Balta,,Su kamera apačioje,201.0,0.65,0.65,,,Electrolux
193,Mini šaldytuvas ADLER AD-8089 28L,139.99,Adler,,,,,,,,,,,,Adler
194,Įmontuojamas šaldytuvas Gorenje RI518EA1,666.91,Gorenje,Pastatytas,E,Elektroninis,Balta,301.0,Fridge without freezer,177.2,55.7,54.5,113,A,Gorenje
195,Bosch Serie 4 KGN397IEQ fridge-šaldiklis Freestanding 368 L E Nerūdijantis plienas,859.99,Bosch,Laisvai statomi,A++,,Sidabrinė,368.0,Su kamera apačioje,203.0,,,,,Bosch
196,Šaldytuvas Whirlpool WFC18 T571,705.99,Whirlpool,Įmontuojami,F,,Balta,250.0,Pastatas,177.0,54,54.5,,,Whirlpool
197,Sharp šaldytuvas-šaldiklis SJ-FBB05DTXLE,342.69,Sharp,Laisvai statomi,E,,Nerūdijantis plienas,204.0,Laisvai pastatomas,,54,59.5,,,Sharp
198,Šaldytuvas Haier HBW5519ECM,576.47,Haier,Įmontuojami,E,,Balta,,Su kamera apačioje,193.5,,,,,Haier
199,Midea Šaldytuvas | MDRD168FGE01 | Energy efficiency class E | Free standing | Larder | Height 84.5 cm | Šaldytuvas net capacity 97 L | Šaldiklis net capacity 16 L | 39 dB | Baltas,155.99,Midea,Laisvai statomi,F,,Balta,97.0,,84.5,,,,,Midea
200,Šaldytuvas Beko B5RCNA365HXB1,485.99,Beko,Laisvai pastatomos,D,Vidinis elektroninis valdymas,Nerūdijantis plienas,210.0,Šaldytuvas su apatiniu šaldikliu,186.5,59.5,66.3,198,C,Beko
201,Šaldytuvas Berk BRC-18552E NF W,309.99,Berk,,E,,Balta,253.0,Su kamera apačioje,180,,,,,Berk
202,Šaldytuvas Bosch KGN49XLEA,835.24,,Laisvai statomi,A++,,Sidabrinė,330.0,Su kamera apačioje,203.0,,,,,Bosch
203,"Bosch KIR81ADE0 Serie | 6, Įmontuojamasis šaldytuvas, 177.5 x 56 cm",779.99,,Įmontuojami,A++,,Balta,319.0,Be kameros,177.2,,,,,Bosch
204,MPM MPM-112-CJ-16/AA Šaldytuvas,185.99,MPM,Laisvai statomi,E,,Pelēka vai sudraba,70.0,Su kamera viduje,84.0,Iki 50,,,,MPM
205,MPM MPM-131-CJ-19 Šaldytuvas,205.99,MPM,Laisvai statomi,E,,Balta,127.0,Be kameros,85.0,,,,,MPM
206,Šaldytuvas Candy CCG1L314ES,247.90,Candy,Laisvai statomi,E,,Sidabrinė,157.0,Su kamera,144,,,,,Candy
207,Šaldytuvas Gorenje N619EAW4,389.89,,Laisvai statomi,E,,Balta,304.0,Su kamera apačioje,186.0,,,,,Gorenje
208,Liebherr CTe 2531 šaldytuvas-šaldiklis su „SmartFrost“ technologija,425.99,Liebherr,Laisvai pastatomos,E,Mechaninis,Balta,233.0,Fridge with top freezer,140.1,55.0,63.0,181,C,Liebherr
209,Šaldytuvas-šaldiklis MPM-125-CZ-08/E,205.99,MPM,Laisvai statomi,E,,Balta,,Su kamera viršuje,115.0,,,,,MPM
210,Šaldytuvas Snaigė RF58SM-S500NE0,412.91,Snaigė,Laisvai pastatomos,E,Mechaninis,Balta,197.0,Šaldytuvas su apatiniu šaldikliu,194.5,60.0,65.0,238,C,Snaigė
211,Šaldytuvas Hisense RB343D4CDE 180cm NoFrost,339.99,Hisense,Laisvai pastatoma,E,,Pilka,269.0,Su kamera apačioje,180.0,55.0,55.8,,,Hisense
212,"Šaldytuvas Bosch KSV33NWEP 2 serija, Baltos spalvos",589.29,,Laisvai statomi,A++,,Balta,324.0,Be kameros,176.0,,,,,Bosch
213,Šaldytuvas Hoover HOBT7719EW,1015.99,Hoover,Įmontuojami,E,,Balta,364.0,Su kamera apačioje,193.5,,,,,Hoover
214,"Bosch KGV36VLEAS Serija 4, Laisvai statomas šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje, 186 x 60 cm, Nerūdijančio plieno spalvos",489.99,,Laisvai statomi,A++,,Sidabrinė,308.0,Su kamera apačioje,186.0,,,,,Bosch
215,Šaldytuvas Whirlpool WHC20 T573,759.99,Whirlpool,Įmontuojami,D,,Balta,68.0,Su kamera apačioje,194.0,,,,,Whirlpool
216,Įmontuojamas šaldytuvas Whirlpool SP40 812 EU 2,829.19,Whirlpool,Įmontuojami,E,,Balta,400.0,Su kamera apačioje,"193,5",,,,,Whirlpool
217,"Bosch Serija 4, Įmontuojamasis šaldytuvas, 177.5 x 56 cm, plokščias vyris KIR81VFE0",955.69,,Įmontuojami,E,,Balta,,Be kameros,177.5,,,,,Bosch
218,Šaldytuvas BOSCH KGN392LDF (Ekspozicinė prekė),875.99,,,,,,,,,,,,,Bosch
219,Šaldytuvas Gorenje NRK619EPXL4 (Ekspozicinė prekė),369.99,,,,,,,,,,,,,Gorenje
220,Šaldytuvas Siemens Bosch Q88NPKX060,13.99,,,,,,,,,,,,,Siemens
221,"Šaldytuvas MPM MPM-46-CJ-01/H, Baltos spalvos",110.77,MPM,Laisvai statomi,A+,,balta,41.0,"Mini

Su kamera viduje",51.0,44 cm,47 cm,,,MPM
222,Šaldytuvas Mini baras GUZZANTI GZ-28 juodas,209.88,Guzzanti,Laisvai statomi,A,,Juoda,28.0,Be kameros,475.0,,,,,Guzzanti
223,Įm.188.4 cm šaldytuvas su šaldikliu Electrolux ENS6TE19S,698.99,Electrolux,Pastatytas,A++,Internal touch control LCD,Balta,213.0,Šaldytuvas su apatiniu šaldikliu,188.4,54.0,54.9,213,B,Electrolux
224,Šaldytuvas Bosch KGE36AWCA,585.09,,Laisvai statomi,A+++,,Balta,302.0,Su kamera apačioje,186.0,,,,,Bosch
225,"WHIRLPOOL Šaldytuvas W5 721E W 2, 176 cm, E energinė klasė (senas A++), Mažas šalnas, Baltas",396.63,Whirlpool,Laisvai statomi,E,,Balta,308.0,Šaldytuvas-Šaldytuvas,176.3,595 mm,655 mm,,,Whirlpool
226,Šaldytuvas Bosch KGE39AICA Serie | 6 201 x 60 cm,635.79,,Laisvai statomi,C,,Sidabrinė,337.0,Su kamera apačioje,201.0,,,,,Bosch
227,Whirlpool Šaldytuvas-šaldiklis ART 6502,701.99,Whirlpool,Įmontuojami,F,,Netaikoma,273.0,Laisvai pastatomas,177.0,54,54.5,,,Whirlpool
228,"Šaldytuvas Bosch KGE36AICA, Sidabrinės spalvos",609.10,,Laisvai statomi,A+++,,Sidabrinė,308.0,Su kamera apačioje,186.0,,,,,Bosch
229,Šaldytuvas BEKO TSE1234FSN,203.64,Beko,Laisvai pastatoma,E,,Pilka,114.0,Su kamera viduje,84.0,54.0,59.0,,,Beko
230,Šaldytuvas Samsung BRB30703EWW/EF,629.99,Samsung,Pastatytas,E,Elektroninis,Balta,224.0,Šaldytuvas su apatiniu šaldikliu,193.5,54.0,55.0,229,B,Samsung
231,"Įmontuojamasis šaldytuvas Bosch KIN86VSE0 Serija 4, 177.2 x 54.1 cm",878.10,,Įmontuojami,E,,Balta,260.0,Su kamera apačioje,177.2,,,,,Bosch
232,Šaldytuvas GORENJE RF4141PS4,287.90,,Laisvai statomi,F,,"Sidabrinė
Pilka",165.0,Su kamera viršuje,143.4,,,,,Gorenje
233,Gorenje | Šaldytuvas | NRK6192AXL4 | Energy efficiency class E | Free standing | Combi | Height 185 cm | No Frost system | Šaldytuvas net capacity 204 L | Šaldiklis net capacity 96 L | Ekranas | 38 dB | Stainless Steel,507.14,,Laisvai statomi,A++,,Sidabrinė,300.0,Su kamera apačioje,185.0,,,,,Gorenje
234,Šaldytuvas Bosch KGV33VWEA Serie | 4 176cm. Baltas,425.15,,Laisvai statomi,E,,Balta,289.0,Su kamera apačioje,176.0,,,,,Bosch
235,Šaldytuvas Gorenje NRK6192ABK4,628.24,,Laisvai statomi,E,,Juoda,320.0,Su kamera apačioje,185.0,,,,,Gorenje
236,"Šaldytuvas Bosch KGV36VBEAS 4 serija, Juodos spalvos",485.99,,Laisvai statomi,E,,Juoda,308.0,Su kamera apačioje,186.0,,,,,Bosch
237,"Šaldytuvas Bosch KGN392LDF 4 serija, Nerūdijančio plieno efektas",778.08,,Laisvai statomi,D,,Sidabrinė,363.0,Su kamera apačioje,203.0,,,,,Bosch
238,Šaldytuvas CANDY CCTOS 542XHN,197.47,,Laisvai statomi,F,,"Sidabrinė

Ruda

Pilka",109.0,Mini,85.0,,,,,Candy
239,"LG Šaldytuvas GBB62PZFGN Energijos efektyvumo klasė D, Laisvai stovintis, Kombinuotas, Aukštis 203 cm, Sistema No Frost, Šaldytuvas neto talpa 233 L, Šaldiklio neto talpa 107 L, Ekranas, 35 dB, Sidabrinis",601.93,,Laisvai statomi,D,,Sidabrinė,384.0,Su kamera apačioje,203.0,,,,,LG
240,Šaldytuvas Snaigė RF27SM-P0002E0,335.41,Snaigė,Laisvai pastatomos,E,Elektroninis,Balta,160.0,Šaldytuvas su apatiniu šaldikliu,150.0,60.0,65.0,197,C,Snaigė
241,"Bosch Bsh Fcli Cerkezkoy Serija 4, Laisvai statomas šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje, 203 x 60 cm, Nerūdijančio plieno efektas KGN397LEQ",685.99,,Laisvai statomi,A++,,Sidabrinė,366.0,Su kamera apačioje,203.0,,,,,Bosch
242,Šaldytuvas Gorenje RB491PW,249.99,,Laisvai statomi,F,,Balta,107.0,Su kamera viduje,84.5,,,,,Gorenje
243,LG | Šaldytuvas | GBB61PZJMN | Energy efficiency class E | Free standing | Combi | Height 186 cm | No Frost system | Šaldytuvas net capacity 234 L | Šaldiklis net capacity 107 L | Ekranas | 36 dB | Sidabrinis,489.99,LG,Laisvai pastatoma,E,,Sidabrinė,341.0,Su kamera apačioje,186.0,59.5,68.2,,,LG
244,Šaldytuvas CANDY CRU164NE/N,266.70,Candy,Įmontuojami,F,,Balta,84.0,Šaldytuvas-Šaldytuvas,82.0,596 mm,556 mm,,,Candy
245,Šaldytuvas AEG LAIKAS SKE818E9ZC,925.99,AEG,Pastatytas,E,Internal touch control LCD,Balta,200.0,Fridge without freezer,176.8,55.6,54.9,126,C,AEG
246,Šaldytuvas Samsung BRB26715DWW/EF,754.50,Samsung,Integruota,D,,Pilnai įmontuojama,264.0,Su kamera apačioje,177.5,54.0,55.0,,,Samsung
247,"Bsh Fcli Cerkezkoy Serija 6, Laisvai statomas šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje, 201 x 60 cm, Baltas KGE39AWCA KGE39AWCA",660.09,,Laisvai statomi,A+++,,Balta,337.0,Su kamera apačioje,201.0,,,,,Bsh Fcli Cerkezkoy
248,Šaldytuvas Snaigė CD29DM-S302SE,469.01,,Laisvai statomi,E,,Balta,275.0,Vitrina,145.0,,,,,Snaigė
249,Laisvai statomas šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje Bosch KGV39VWEA Serija 4,479.99,,Laisvai statomi,E,,Balta,343.0,Su kamera apačioje,201.0,,,,,Bosch
250,"Bosch KGE49AICA Serija 6, Laisvai statomas šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje, 201 x 70 cm, Nerūdijančio plieno dizainas (atsparus pirštų antspaudams)",769.99,,Laisvai statomi,A+++,,Sidabrinė,413.0,Su kamera apačioje,201.0,,,,,Bosch
251,Šaldytuvas Berk BK-147SAW,227.89,Berk,Laisvai statomi,F,,Balta,113.0,Su kamera viduje,84.5,50 – 55,,,,Berk
252,Šaldytuvas VOX KG2500E,179.99,VOX,Laisvai statomi,,,,171.0,Su kamera viršuje,145.0,,,,,VOX
253,Šaldytuvas Snaigė FR24SM-PRR50E3,409,Snaigė,Laisvai pastatomos,E,Mechaninis,Raudona,209.0,Fridge with top freezer,147.5,56.0,63.0,,C,Snaigė
254,LG | Šaldytuvas | GBB72SWDMN | Energy efficiency class E | Free standing | Combi | Height 203 cm | No Frost system | Šaldytuvas net capacity 277 L | Šaldiklis net capacity 107 L | Ekranas | 36 dB | Baltas,590.99,LG,Laisvai pastatomos,E,,Balta,384.0,Šaldytuvas su apatiniu šaldikliu,203.0,59.5,68.2,269,C,LG
255,Šaldytuvas WHIRLPOOL ART 66122,398.48,Whirlpool,Įmontuojami,E,,Balta,273.0,Šaldytuvas-Šaldytuvas,177.6,560 mm,560 mm,,,Whirlpool
256,Šaldytuvas Guzzanti GZ-102,237.18,Guzzanti,Laisvai statomi,F,,Juoda,87.0,Be kameros,83.5,,,,,Guzzanti
257,LG | Šaldytuvas | GBB61SWJMN | Energy efficiency class E | Free standing | Combi | Height 186 cm | No Frost system | Šaldytuvas net capacity 234 L | Šaldiklis net capacity 107 L | Ekranas | 36 dB | Baltas,451.87,LG,Laisvai statomi,E,,Balta,341.0,Su kamera apačioje,186,,,,,LG
258,Šaldytuvas Whirlpool SW8 AM2Y WR 2,479.99,Whirlpool,Laisvai statomi,E,,Balta,371.0,Šaldytuvas,187.5,595 mm,630 mm,,,Whirlpool
259,Įmontuojamas šaldytuvas Whirlpool ART 66102,404.97,Whirlpool,Įmontuojami,E,,Balta,273.0,Šaldytuvas-Šaldytuvas,177.0,560 mm,560 mm,,,Whirlpool
260,Šaldytuvas Snaigė RF34SM-S0002E0,376.07,Snaigė,Laisvai pastatomos,E,Mechaninis,Balta,200.0,Šaldytuvas su apatiniu šaldikliu,185.0,60.0,65.0,228,C,Snaigė
261,201 cm aukščio ner. plieno šaldytuvas su šaldikliu Indesit LI9 S2E X,377.90,Indesit,Laisvai statomi,E,,Nerūdijantis plienas,372.0,Šaldytuvas-Šaldytuvas,201.3,595 mm,655 mm,,,Indesit
262,Šaldytuvas LG GBB71PZDMN,538.94,LG,Laisvai statomi,E,,Sidabrinė,341.0,Su kamera apačioje,186,,,,,LG
263,Šaldytuvas Snaigė FR24SM-PRC30E3,405.99,Snaigė,Laisvai pastatomos,E,Mechaninis,Kreminis,209.0,Fridge with top freezer,148.0,56.0,63.0,173,,Snaigė
264,Šaldytuvas Samsung BRB26605DWW,730.44,Samsung,Įmontuojami,D,,Balta,264.0,Su kamera apačioje,177.5,,,,,Samsung
265,158.8 cm aukščio šaldytuvas šaldiklis Indesit LI6 S2E W,309.99,Indesit,Laisvai statomi,E,,Balta,197.0,Šaldytuvas-Šaldytuvas,158.8,595 mm,655 mm,,,Indesit
266,"Bsh Fcli Cerkezkoy Serija 4, Laisvai statomas šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje, 203 x 70 cm, Baltas KGN49XWEA KGN49XWEA",748.90,,Laisvai statomi,A++,,Balta,435.0,Su kamera apačioje,203.0,,,,,Bsh Fcli Cerkezkoy
267,LG | Šaldytuvas | GBB72PZDMN | Energy efficiency class E | Free standing | Combi | Height 203 cm | No Frost system | Šaldytuvas net capacity 277 L | Šaldiklis net capacity 107 L | Ekranas | 36 dB | Sidabrinis,609.99,LG,Laisvai statomi,E,,Sidabrinė,384.0,Su kamera apačioje,203,,,,,LG
268,"BEKO Šaldytuvas RCSA240K40WN, Energy class E, Height 153cm, Baltas",278.14,Beko,Laisvai statomi,E,,Balta,229.0,Šaldytuvas-Šaldytuvas,153.0,540 mm,574 mm,,,Beko
269,"BEKO Šaldytuvas RCSA300K40WN, Energy class E, Height 181 cm, Baltas",319.99,Beko,Laisvai pastatomos,E,Mechaninis,Balta,204.0,Šaldytuvas su apatiniu šaldikliu,181.3,54.0,57.4,227,B,Beko
270,SHARP SJBA10DMXWFEU Šaldytuvas,479,Sharp,Laisvai statomi,F,,Balta,331.0,Su kamera apačioje,186,,,,,Sharp
271,Šaldytuvas Gorenje R619EAXL6,549.13,Gorenje,Laisvai pastatomos,E,External electronic control,Plienas,398.0,Fridge without freezer,185.0,59.5,66.3,123,C,Gorenje
272,LIEBHERR ICBNe 5123 Built-in Šaldytuvas-Šaldiklis with BioFresh and NoFrost,1399.99,Liebherr,Įmontuojami,E,,Balta,244.0,Su kamera apačioje,178.0,56.0,,,,Liebherr
273,Šaldytuvas CANDY CIL 220 NE,279.21,Candy,Įmontuojami,F,,Balta,197.0,Be kameros,"122,1",,,,,Candy
274,Ravanson šaldytuvas-šaldiklis LKK-90ES inox,175.99,Ravanson,Laisvai statomi,E,,Nerūdijantis plienas,81.0,Laisvai pastatomas,83.0,46.50,44,,,Ravanson
275,"Bosch KGV33VLEA Serija 4, Laisvai statomas šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje, 176 x 60 cm, Nerūdijančio plieno efektas",524.28,,Laisvai statomi,E,,Sidabrinė,193.0,Su kamera apačioje,176.0,,,,,Bosch
276,"Šaldytuvas Bosch KGN39VLEB, Pilkos spalvos",598.90,Bosch,Laisvai statomi,E,,Sidabrinė,368.0,Su kamera apačioje,203.0,60.0,,,,Bosch
277,"Candy Pastatomas 2 durų Šaldytuvas, su „Low Frost“ technologija, Sidabrinės spalvos, 545 x550 x 1760 (CCT3L517ES)",314.19,Candy,Laisvai statomi,E,,Sidabrinė,186.0,Laisvai pastatomas,176.0,59.00,55,,,Candy
278,Beko INDESIT | Šaldytuvas | LI6 S2E X | Energy efficiency class E | Free standing | Combi | Height 158.8 cm | Šaldytuvas net capacity 197 L | Šaldiklis net capacity 75 L | 39 dB | Inox,312.15,Beko,Laisvai statomi,E,,Nerūdijantis plienas,197.0,Šaldytuvas-Šaldytuvas,158.8,595 mm,655 mm,,,Beko
279,Šaldytuvas Electrolux LXB1SE11W0,318.05,Electrolux,Laisvai pastatomos,E,Vidinis elektroninis valdymas,Balta,123.0,Fridge with freezer inside,84.5,56.0,57.5,139,C,Electrolux
280,Įmontuojamas šaldytuvas su šaldikliu AEG SCE819E5TS,685.68,AEG,Pastatytas,E,Internal touch control LCD,Balta,269.0,Šaldytuvas su apatiniu šaldikliu,188.4,54.0,54.9,233,C,AEG
281,"Bosch Bsh Fclg Giengen Serija 6, Įmontuojamasis šaldytuvas-šaldiklis su šaldiklio skyriumi apačioje, 177.2 x 55.8 cm, plokščias vyris KIS87AFE0",869.99,,Įmontuojami,A++,,Balta,272.0,Su kamera apačioje,177.2,,,,,Bosch
