id,title,price,brand,Combined_remas,Combined_paskirtis,Combined_tipai,Combined_skersmuo,Combined_gears,Combined_gearsI
442,LIONELO bėgimo dviratukas Alex Bubblegum,108.87,Lionelo,CARBON XXL(23) 23 CARBON,Vyrams,,29,12,12
443,Dviratis Merida BIG.NINE 3000 silk lime-XXL(23) (Dydis: XXL(23)),1868.90,Merida,HI-TEN STEEL HI-TEN STEEL,Vaikams,,24,3,3
444,"Dviratis AZIMUT Julie 24"" 3-speed 2023 light cream",301.90,Azimut,HI-TEN STEEL 17 HI-TEN STEEL,Moterims,,28,3,3
445,"Dviratis AZIMUT Vintage 28"" 3-speed 2023 burgund-cream shiny",348.90,Azimut,Aliuminis ALLOY,Vaikams,,20,3,3
446,Dviratis PUKY Skyride 20-3 Alu Classic retro žalias,529.89,Puky,,"Moterims
Vyrams",,,,
447,"Elektrinis dviratis ADO D30C, Sidarbrinis",1279.89,ADO,HI-TEN STEEL HI-TEN STEEL,Vaikams,,24,,
448,"Dviratis AZIMUT Julie 24"" 2023 baltas-violet",200.54,Azimut,,"Moterims
Vyrams",,,,
449,"Elektrinis dviratis ADO A20F Beast, Juodas",1277.40,ADO,,"Moterims
Vyrams",,,9,9
450,"L15 Dviratis ADO D30C, Pilkas Elektrinis",1914.22,L15,,,,,,
451,Dviratis 26 CLASSIC COMFORT 7 26 26 baltas classic,406,CLASSIC,,,,,7,7
452,"Elektrinis dviratis DYU FF500, 20"", 500W, 15Ah, mėlynas",1359.99,DYU,,Paaugliams,,26,,
453,"Elektrinis dviratis Laifook Seeker, 26"", 250W, 9Ah, smėlio spalvos",774.99,Laifook,,,,,,
454,"Elektrinis dviratis Cysum M520, 29"", 500W, 14Ah LG, juodas",1849.99,Cysum,,,,,,
455,"Elektrinis dviratis DYU C2, 16"", 250W, 7,5Ah, mėlynas",759.99,DYU,,,,,,
456,"Elektrinis dviratis Hitway BK31, 28"", 250W, 13Ah, pilkas",1199.99,Hitway,,,,,,
457,"Elektrinis dviratis DUOTTS E26 Hybrid, 26"", 750W, 20Ah SAMSUNG, mėlynas",2399.99,Duotts,,,,,9,9
458,"Elektrinis dviratis Fiido Gravel C22, 250W, pilkas",1299.99,Fiido,,,,,,
459,"Elektrinis dviratis Shengmilo MX05, 26"", 500W, 15Ah, pilkas",1779.99,Shengmilo,,,,,,
460,"Elektrinis dviratis Cysum M520, 29"", 500W, 14Ah LG, žalias",1849.99,Cysum,,,,,,
461,"Elektrinis dviratis Drvetion BT20, 20"", 750W, 10Ah SAMSUNG, pilkas",1189.99,Drvetion,,,,,,
462,"Elektrinis dviratis Engwe LE20, 20"", 250W, 19,2Ah, mėlynas",1799.99,Engwe,,Paaugliams,,26,,
463,"Elektrinis dviratis Laifook Seeker S, 26"", 250W, 9Ah, juodas",774.99,Laifook,,Paaugliams,,26,,
464,"Elektrinis dviratis Laifook Seeker S, 26"", 250W, 9Ah, mėlynas",774.99,Laifook,,,,,,
465,"Elektrinis dviratis OneSport OT01 Cargo, 20"", 500W, 27Ah, mėlynas",1749.99,Onesport,Aliuminis,,,,9,9
466,"Elektrinis dviratis Fiido Titan, 26"", 750W, 14,5Ah, juodas",1849.99,Fiido,,,,,,
467,"Elektrinis dviratis ENGWE M1, 20"", 250W, 15,6Ah, geltonas",1199.99,Engwe,,,,21,,
468,"Sharp Hibridinis elektrinis dviratis, 21"", 250W, Juodos matinės spalvos (BK-RS08-EB)",1949.99,Sharp,"Aliuminis 20"" / XL 20 ALLOY",,,20,24,24
469,"Dviratis Romet Rambler R6.3 2024 baltas-auksinis-20"" / XL (Dydis: 20"" / XL)",391.60,Romet,Aliuminis 34 cm / XS ALLOY,,,,,
470,Dviratis Merida Big.Seven 15 I1 matt dark sidabrinis(sidabrinis)-34 cm / XS (Dydis: 34 cm / XS),599,Merida,CARBON 53 cm CARBON,,,,11,11
471,Dviratis Cube Attain GTC SLX carbon'n'juodas 2023-53 cm (Dydis: 53 cm),2033.82,Cube,"ALLOY 17"" / M 17 ALLOY",,,,7,7
472,"Dviratis Romet Rambler R9.1 2024 juodas-red-pilkas-17"" / M (Dydis: 17"" / M)",489,Romet,Aliuminis 50 cm / S ALLOY,Paaugliams,,,30,30
473,Dviratis Cube Nature SLX Trapeze pilkas'n'juodas 2023-50 cm / S (Dydis: 50 cm / S),1402.20,Cube,Aliuminis 46 cm / XS ALLOY,,,,8,8
474,Dviratis Cube Touring ONE Trapeze juodas'n'metal 2024-46 cm / XS (Dydis: 46 cm / XS),829,Cube,Aliuminis ALLOY,Vaikams,,,,
475,Dviratis Dviratis Cube Acid 200 Disc galactic'n'cyan 2025,479,Cube,Aliuminis,Vaikams,,26,"Shimano Deore SGS, 11 pavarų Shimano Deore shifter",1
476,Dviratis 26 SILVERBACK SCOOP FATTY 26 silverback,1499,SILVERBACK,Aliuminis ALLOY,Vaikams,,,,
477,"Dviratis Royal Baby BELT Lite 20"" pilkas mėlynas",389,Royal Baby,Aliuminis 50 cm ALLOY,,,,10,10
478,Dviratis Cube Cross Race flashpetrol'n'žalias 2024-50 cm (Dydis: 50 cm),1249,Cube,"Aliuminis 21"" 21 ALLOY",,,21,,
479,"Dviratis Unibike Flash LDS 2024 juodas-21"" (Dydis: 21"")",659,Unibike,"Aliuminis 19"" / L 19 ALLOY",Vyrams,,,7,7
480,"Dviratis Romet Orkan D 28"" 2023 baltas-pilkas-19"" / L (Dydis: 19"" / L)",293.35,Romet,HI-TEN STEEL HI-TEN STEEL,Vyrams,,28,3,3
481,"Dviratis AZIMUT Holland Retro 28"" 3-speed 2023 matinis juodas",339,Azimut,Aliuminis ALLOY,Paaugliams,,,,
482,"Dviratis Romet Luiza Lux 26"" 2023 juodas",489,Romet,HI-TEN STEEL HI-TEN STEEL,Vaikams,,,1,1
483,"Dviratis S'COOL XtriX 20 1-speed BMX 20"" HiTen dark žalias-neon žalias",299,Scool,Aliuminis 43 cm / M ALLOY,,,,,
484,Dviratis Merida Big.Nine 20 VI1 teal-mėlynas(lime)-43 cm / M (Dydis: 43 cm / M),679,Merida,Aliuminis 55 cm / L ALLOY,,,,,
485,Dviratis Merida Crossway 20 III1 Lady silk steel mėlynas(mėlynas)-55 cm / L (Dydis: 55 cm / L),669,Merida,"Aliuminis 21"" 21 ALLOY",,,21,,
486,"Dviratis Unibike Vision GTS 2024 graphite-21"" (Dydis: 21"")",709,Unibike,Aliuminis 47 cm / S ALLOY,,,,,
487,Dviratis Merida Crossway 20 III1 silk steel mėlynas(mėlynas)-47 cm / S (Dydis: 47 cm / S),669,Merida,Aliuminis S-M(48) 48 ALLOY,Paaugliams,,28,21,21
488,Dviratis Merida CROSSWAY 10-V silk dark sidabrinis-S-M(48) (Dydis: S-M(48)),469,Merida,Aliuminis 11.6Ah ALLOY,Paaugliams,,28,6,6
489,"Elektrinis dviratis Ecobike Basic 28"" 2023 petrol mėlynas-11.6Ah (Dydis: 11.6Ah)",1299,Ecobike,Aliuminis 50 cm / S ALLOY,Paaugliams,,,9,9
490,Elektrinis dviratis Cube Touring Hybrid ONE 625 pilkas'n'baltas 2023-50 cm / S (Dydis: 50 cm / S),2244.36,Cube,"Aliuminis 20"" / L 20 ALLOY",,,,,
491,"Dviratis Dviratis Cube Aim ONE 29 lemonsqueeze'n'juodas 2025-20"" / L (Dydis: 20"" / L)",579,Cube,"Aliuminis 19"" / L 19 ALLOY",Paaugliams,,,7,7
492,"Dviratis Romet Jolene 7.1 27.5"" 2023 navy mėlynas-19"" / L (Dydis: 19"" / L)",384.59,Romet,"CARBON 18"" / 29 / M 18 CARBON",,,18,12,12
493,"Elektrinis dviratis Cube Stereo Hybrid 140 HPC Race 625 29 pilkas'n'chrome 2023-18"" / 29 / M (Dydis: 18"" / 29 / M)",3788.32,Cube,Aliuminis 46 cm / XS ALLOY,Paaugliams,,,8,8
494,Dviratis Cube Nature graphite'n'juodas 2023-46 cm / XS (Dydis: 46 cm / XS),644.25,Cube,"CARBON 17"" / L 17 CARBON",,,,12,12
495,"Elektrinis dviratis Cube AMS Hybrid ONE44 C:68X SLX 400X 29 deepcobalt'n'juodas 2025-17"" / L (Dydis: 17"" / L)",5999,Cube,Aliuminis 51 cm / XL ALLOY,,,,,
496,Dviratis Merida Big.Nine 20 VI1 matt dark sidabrinis(sidabrinis)-51 cm / XL (Dydis: 51 cm / XL),679,Merida,Aliuminis 55 cm / L ALLOY,,,,,
497,Dviratis Merida Crossway 20 III1 Lady juodas(sidabrinis)-55 cm / L (Dydis: 55 cm / L),669,Merida,Aliuminis 47 cm / S ALLOY,,,,,
498,Dviratis Merida Crossway 20 III1 Lady juodas(sidabrinis)-47 cm / S (Dydis: 47 cm / S),669,Merida,"Aliuminis 19"" / M 19 ALLOY",Paaugliams,,27,21,21
499,"Dviratis Romet Wagant 4 2024 graphite-baltas-19"" / M (Dydis: 19"" / M)",489.86,Romet,"ALLOY 20"" / L 20 ALLOY",Paaugliams,,27,7,7
500,"Dviratis Romet Gazela 0 2024 dark turquoise-auksinis-20"" / L (Dydis: 20"" / L)",363.53,Romet,Aliuminis ALLOY,Vaikams,,,,
501,"Dviratis Royal Baby BELT Lite 14"" pastel pink",339,Royal Baby,"Aliuminis 18"" / L 18 ALLOY",,,,16,16
502,"Dviratis Romet Rambler FIT 26 2024 bordo-sidabrinis-18"" / L (Dydis: 18"" / L)",419.68,Romet,"Aliuminis 17"" 17 ALLOY",,,17,,
503,"Dviratis Unibike Move 29 2024 titan-17"" (Dydis: 17"")",659,Unibike,"Aliuminis 20"" / 29 / L 20 ALLOY",Vyrams,,20,12,12
504,"Dviratis Cube Acid 29 pilkas'n'pearlgrey 2023-20"" / 29 / L (Dydis: 20"" / 29 / L)",1023.22,Cube,HI-TEN STEEL HI-TEN STEEL,Vaikams,,18,1,1
505,Dviratis Karbon Kitty 18 violet-baltas,198,Karbon,"Aliuminis 16"" / 27.5 / S 16 ALLOY",Paaugliams,,16,12,12
506,"Dviratis Cube Access WS SLX 27.5 pilkas'n'sidabrinis 2023-16"" / 27.5 / S (Dydis: 16"" / 27.5 / S)",981.12,Cube,Aliuminis ALLOY,Vaikams,,,21,21
507,Dviratis Romet Panda 1 2024 pink-baltas,399,Romet,"ALLOY 18"" / M 18 ALLOY",,,,27,27
508,"Dviratis Romet Rambler R7.4 2024 graphite-sidabrinis-turquoise-18"" / M (Dydis: 18"" / M)",489.86,Romet,Aliuminis ALLOY,Vaikams,,24,3,3
509,Dviratis PUKY Skyride 24-3 Classic Alu retro mėlynas,609.99,Puky,"Aliuminis 19"" / 29 / L 19 ALLOY",,,19,12,12
510,"Elektrinis dviratis Cube Reaction Hybrid SLX 750 29 pilkas'n'spectral 2023-19"" / 29 / L (Dydis: 19"" / 29 / L)",3016.34,Cube,Aliuminis ALLOY,Vaikams,,,6,6
511,Dviratis Romet Rambler FIT 20 2024 mėlynas-aquamarine-sidabrinis,265.28,Romet,"Aliuminis 21"" / XL 21 ALLOY",,,21,21,21
512,"Dviratis Romet Rambler R6.0 2024 mėlynas-lemon-21"" / XL (Dydis: 21"" / XL)",297.56,Romet,Aliuminis 55 cm / L ALLOY,,,,,
513,Dviratis Merida Crossway 20 III1 silk steel mėlynas(mėlynas)-55 cm / L (Dydis: 55 cm / L),669,Merida,"Aliuminis 19"" / L 19 ALLOY",,,,21,21
514,"Dviratis Romet Jolene 7.0 2024 mėlynas-pink-19"" / L (Dydis: 19"" / L)",349.50,Romet,Aliuminis 43 cm / M ALLOY,,,,,
515,Dviratis Merida Matts 60 I1 matt cool pilkas(sidabrinis)-43 cm / M (Dydis: 43 cm / M),749,Merida,"Aliuminis 22"" / 29 / XL 22 ALLOY",Vyrams,,22,9,9
516,"Elektrinis dviratis Cube Reaction Hybrid Performance 625 29 juodas'n'pilkas 2023-22"" / 29 / XL (Dydis: 22"" / 29 / XL)",2104,Cube,"Aliuminis 19"" / L 19 ALLOY",,,,21,21
517,"Dviratis Romet Jolene 7.0 2024 baltas-19"" / L (Dydis: 19"" / L)",449,Romet,"Aliuminis 21"" / L 21 ALLOY",Paaugliams,,27,21,21
518,"Dviratis Romet Wagant 3 2024 mėlynas-dark mėlynas-21"" / L (Dydis: 21"" / L)",419.68,Romet,Aliuminis 39 cm / XXS ALLOY,,,,,
519,Dviratis Merida Crossway 20 III1 Lady juodas(sidabrinis)-39 cm / XXS (Dydis: 39 cm / XXS),669,Merida,"Aliuminis 20"" / XL 20 ALLOY",,,20,21,21
520,"Dviratis Romet ŽALGIRIS R6 juodas-žalias-20"" / XL (Dydis: 20"" / XL)",475.82,Romet,,Nuo 3 iki 7 metų Vaikams,,,,
521,Dviratis nuo 3m iki 7m smarTrike Xtend  - pink,299.95,Xtend,"Aliuminis 20"" / XL 20 ALLOY",,,20,24,24
522,"Dviratis Romet Rambler R6.3 2024 mėlynas-red-sidabrinis-20"" / XL (Dydis: 20"" / XL)",499,Romet,"Aliuminis 17"" 17 ALLOY",,,17,,
523,"Dviratis Unibike Fusion 29 2024 graphite-17"" (Dydis: 17"")",869,Unibike,"Aliuminis 19"" / L 19 ALLOY",,,,21,21
524,"Dviratis Romet Jolene 7.1 2024 baltas-19"" / L (Dydis: 19"" / L)",499,Romet,Aliuminis ALLOY,Paaugliams,,26,3,3
525,"Dviratis Romet Pop Art Eco 26"" Alu 2022 violetinė",459,Romet,Aliuminis 53 cm ALLOY,,,,9,9
526,Dviratis Cube Attain Pro sidabrinis'n'oranžinis 2023-53 cm (Dydis: 53 cm),953.04,Cube,"Aliuminis 18"" / M 18 ALLOY",Paaugliams,,,,
527,"Dviratis Romet Orkan 3 M Lite 28"" 2023 juodas-sky mėlynas-18"" / M (Dydis: 18"" / M)",529,Romet,"Aliuminis 21"" / L 21 ALLOY",Paaugliams,,28,7,7
528,"Dviratis Romet Wagant 4 28"" 2023 mėlynas-navy mėlynas-21"" / L (Dydis: 21"" / L)",461.78,Romet,,"Moterims

Vyrams

Paaugliams",,,,
529,"Baana Suokki 20 -polkupyörä, 1-vaihteinen, turkoosi",249.99,Baana,HI-TEN STEEL HI-TEN STEEL,Vaikams,,18,1,1
530,Dviratis Karbon Alvin 18 juodas-red,198,Karbon,HI-TEN STEEL HI-TEN STEEL,Vaikams,,24,3,3
531,"Dviratis AZIMUT Julie 24"" 3-speed 2023 baltas-turquoise",315,Azimut,"ALLOY 18"" / M 18 ALLOY",,,,24,24
532,"Dviratis Romet Rambler R9.3 2024 dark mėlynas-graphite-mėlynas-18"" / M (Dydis: 18"" / M)",489.86,Romet,"Aliuminis 19"" / L 19 ALLOY",,,,24,24
533,"Dviratis Romet Jolene 7.2 2024 violetinė-oranžinis-19"" / L (Dydis: 19"" / L)",442.13,Romet,Aliuminis 47 cm / S ALLOY,,,,,
534,Dviratis Merida Crossway 20 III1 juodas(sidabrinis)-47 cm / S (Dydis: 47 cm / S),669,Merida,"Aliuminis 19"" / L 19 ALLOY",,,,21,21
535,"Dviratis Romet Jolene 6.1 2024 žalias-violet-19"" / L (Dydis: 19"" / L)",307.39,Romet,Aliuminis ALLOY,,,,,
536,"Dviratis Romet Luiza Lux 28"" 2023 smėlio spalvos",391.60,Romet,Aliuminis ALLOY,Vaikams,,,,
537,"Dviratis Royal Baby BELT Lite 14"" pilkas mėlynas",339,Royal Baby,"Aliuminis 17"" / M 17 ALLOY",Paaugliams,,28,21,21
538,"Dviratis Romet Orkan 2 D 2024 turquoise-17"" / M (Dydis: 17"" / M)",391.60,Romet,"Aliuminis 20"" / XL 20 ALLOY",Paaugliams,,27.5,,
539,"Dviratis Romet Rambler R7.3 27.5"" 2023 baltas-auksinis-20"" / XL (Dydis: 20"" / XL)",461.78,Romet,Aliuminis 46 cm / S ALLOY,,,,,
540,Dviratis Merida Crossway 10-V I1 juodas(sidabrinis)-46 cm / S (Dydis: 46 cm / S),499,Merida,"ALLOY 20"" / L 20 ALLOY",,,,27,27
541,"Dviratis Romet Rambler R7.4 2024 graphite-sidabrinis-turquoise-20"" / L (Dydis: 20"" / L)",489.86,Romet,Aliuminis ALLOY,Vaikams,,,1,1
542,Dviratis Dviratis Cube Numove 180 mėlynas'n'lime 2025,479,Cube,Aliuminis 52 cm / M-L ALLOY,,,,,
543,Dviratis Merida Crossway 10-V I1 juodas(sidabrinis)-52 cm / M-L (Dydis: 52 cm / M-L),499,Merida,"Aliuminis 19"" / M 19 ALLOY",Paaugliams,,27,21,21
544,"Dviratis Romet Wagant 3 2024 dark auksinis-19"" / M (Dydis: 19"" / M)",419.68,Romet,Aliuminis 47 cm / L ALLOY,,,,,
545,Dviratis Merida Big.Nine 20 VI1 matt fall žalias(juodas)-47 cm / L (Dydis: 47 cm / L),679,Merida,Aliuminis 43 cm / M ALLOY,,,,,
546,Dviratis Merida Big.Nine 20 VI1 baltas(violetinė)-43 cm / M (Dydis: 43 cm / M),679,Merida,Aliuminis ALLOY,Vaikams,,,1,1
547,Dviratis Dviratis Cube Numove 120 RT flashwhite'n'pink 2025,399,Cube,"Aliuminis 19"" / M 19 ALLOY",Paaugliams,,27,21,21
548,"Dviratis Romet Wagant 0 2024 dark turquoise-auksinis-19"" / M (Dydis: 19"" / M)",349.50,Romet,"Aliuminis 17"" / M 17 ALLOY",,,,7,7
549,"Dviratis Romet Jolene 6.2 2024 juodas-žalias-violet-17"" / M (Dydis: 17"" / M)",449,Romet,Aliuminis 59 cm / XL ALLOY,,,,,
550,Dviratis Merida Crossway 20 III1 juodas(sidabrinis)-59 cm / XL (Dydis: 59 cm / XL),669,Merida,"Aliuminis 17"" / M 17 ALLOY",,,,21,21
551,"Dviratis Romet Rambler R6.0 2024 juodas-oranžinis-red-17"" / M (Dydis: 17"" / M)",297.56,Romet,,,,,,
552,"Author Solution ASL dviratis, sidabrinis, 27,5''",529.99,Author,Aliuminis ALLOY,Vaikams,,,6,6
553,Dviratis Romet Jolene 20 KID 1 2024 coral-baltas,223.17,Romet,"Aliuminis 20"" / L 20 ALLOY",Paaugliams,,,,
554,"Dviratis Romet Orkan 2 D 28"" 2023 violet-baltas-20"" / L (Dydis: 20"" / L)",469,Romet,HI-TEN STEEL HI-TEN STEEL,Vaikams,,,,
555,Triratis dviratukas PUKY CEETY rose-kiwi,112.19,Puky,"ALLOY 21"" / L 21 ALLOY",Vyrams,,,7,7
556,"Dviratis Romet Orkan M Lite 28"" 2023 graphite-red-21"" / L (Dydis: 21"" / L)",265.28,Romet,"Aliuminis 22"" / 29 / XL 22 ALLOY",,,22,9,9
557,"Elektrinis dviratis Cube Reaction Hybrid Performance 500 Allroad 29 metallicbrown'n'oranžinis 2023-22"" / 29 / XL (Dydis: 22"" / 29 / XL)",2075.92,Cube,Aliuminis ALLOY,Vaikams,,,21,21
558,Dviratis Romet Rambler DIRT 24 2024 sidabrinis-oranžinis,307.39,Romet,42 cm,Suaugusiems,,20,Shimano Altus 8,8
559,"Kitas BIKE ELECTRIC 20"" VONIQ ECO S/Raudonas 8681933434562 CORELLI",1039.99,Corelli,,"Moterims
Vyrams",,,7,7
560,"The-sliders Litės juoda skoningas ir patogus, lankstymo dviratį, motoroleris 2in1",569.99,The Sliders,,,,,9,9
561,"Radio DICE Complete Dviratis, 20''TT, Raudona",349.99,RADIO,,,,,,
562,"Niner RLT 9 2021 Rėmai, 53 cm",1079.99,Niner,Aliuminis,"Moterims
Vyrams",,20,6,6
563,"Beaster Scooter El. Dviratis BEASTER, BS29B",1071.30,Beaster Scooter,Aliuminis,"Moterims
Vyrams",,,,
564,"Beaster Scooter El. Dviratis BEASTER, BS114G",1617,Beaster Scooter,,Vyrams,,,,
565,El. Dviratis Myatu M1626BL,1067,Myatu,,,,,,
566,"Elektrinis dviratis Eleglide M2, 29"", 250W, 15Ah, juodas",1059.99,Eleglide,,,,,,
567,"Elektrinis dviratis FAFREES F20 Pro, 20"", šviesiai mėlynas, , 250W, 18Ah",1359.99,Fafrees,,,,,,
568,"Elektrinis dviratis FAFREES F20 Pro, 20"", juodas, 250W, 18Ah",1359.99,Fafrees,,,,,,
569,"Elektrinis dviratis Hidoes B10, 20"", 1000W, 12,5Ah, raudonas",1359.99,Hidoes,,,,,,
570,"Elektrinis dviratis Fafrees F20 20"", baltas, 250W, 16Ah",1189.99,Fafrees,,,,,,
571,"Elektrinis dviratis Fafrees F20 20"", juodas, 250W, 16Ah",1189.99,Fafrees,,,,,,
572,"Elektrinis dviratis Fafrees F20 20"", pilkas, 250W, 16Ah",1189.99,Fafrees,,,,,,
573,"Elektrinis dviratis Gunai GN88, 26"", 2000W, 22Ah, juodas",1869.99,Gunai,Aliuminis Vyriškas,Vyrams,,28 28,SHIMANO Sora RD-R3000 SHIMANO Sora ST-R3000,2
574,Dviratis 28 Bulls Grinder 2 18g GRAVEL t.mėlynas,1399,Bulls,,,,,,
575,"Elektrinis dviratis Hidoes C1, 20"", 750W, 13Ah, juodas/žalias",979.99,Hidoes,Aliuminis,Vyrams,,29 29,SHIMANO Altus RD-M310 SHIMANO ST-EF500,3
576,Dviratis 29 Bulls Sharptail 1 Disc 24 g juodas matinis,749.95,Bulls,Aliuminis,Vyrams,,29 29,SHIMANO Deore XT RD-M8100-12-SGS Shadow Plus SHIMANO Deore XT SL-M8100-IR I-Spec EV,2
577,Dviratis 29 Bulls Copperhead 3 vyr. 22g juodas matinis,1399,Bulls,,,,,,
578,"Elektrinis dviratis Kaisda K7 20"", 350W, 12,5Ah, juodas",849.99,Kaisda,Aliuminis,Vyrams,,"27.5 27,5",SHIMANO Altus RD-M310 SHIMANO ST-EF500,3
579,"Dviratis 27,5 Bulls Sharptail 1 Disc 24g juodas matinis",749.95,Bulls,16.9,,,,,
580,"Elektrinis dviratis Kaisda K201, 20"", 250W, 20,08Ah, juodas",1147.49,Kaisda,,,,,,
581,"Elektrinis dviratis Kaisda K26M 26"", 250W, 12,5Ah, juodas",807.49,Kaisda,Aliuminis Moteriškas,Vyrams,Hibridinis/krosinis,"28 28""",SHIMANO RD-M2000 SHIMANO Altus SL-M2010 27,27 3
582,Dviratis 28 Bulls Crossbike 2 trapez 27g mėlynas,849.95,Bulls,Aliuminis,Apytikslis amžius 7-9 metų Vaikams,,24 24,Shimano Tourney TY-300 Shimano Tourney TY-300 7,7
583,Dviratis 24 Classic Team 24 žalias,406,CLASSIC,Aliuminis Vyriškas,Vyrams,Vieta,28 28,SHIMANO Tourney RD-TY200 SHIMANO Tourney ST-EF41 Išorinės,3
584,Dviratis 28 Pegasus Piazza 21 g vyr. mėlynas,649.95,Pegasus,Aliuminis,Apytikslis amžius 11-13 metų Vaikams,,26 26,SHIMANO Tourney RD-TY200 SHIMANO SL-RS36 Revoshift 18,18 1
585,Dviratis 26 Pegasus Avanti 18g trapez juodas,599.95,Pegasus,Aliuminis Vyriškas,Vyrams,Vieta,28 28,Shimano Nexus 8 Shimano Nexus SL-C6000-8 8 Vidinės,8 Nėra
586,Dviratis 28 elektrinis Pegasus Solero E8R 500wh vyr.8g juodas,2899,Pegasus,Aliuminis,Apytikslis amžius 11-13 metų Vyrams,,26 26,SHIMANO Tourney RD-TY200 SHIMANO SL-RS36 Revoshift 18,18 1
587,Dviratis 26 Pegasus Avanti 18g vyr. tamsiai mėlynas,599.95,Pegasus,Aliuminis Vyriškas,Vyrams,,28 28,Shimano GRX RD-RX400 Shimano GRX FD-RX400,2
588,Dviratis 28 Bulls Grinder 3 Gravel vyr.20g juodas,1899,Bulls,Aliuminis Unisex,Vyrams,Vieta,28 28,Shimano Nexus 7 Shimano Nexus SL-7S31 7 Vidinės,7 Nėra
589,Dviratis 28 elektrinis Pegasus Ancura E7R HS 400wh wave 7g juodas,2499,Pegasus,Plieninis,Apytikslis amžius 3-4 metų Vaikams,,16 16,,
590,Dviartis 16 Classic PRO red,304,CLASSIC,Aliuminis Vyriškas,Vyrams,Vieta,28 28,SHIMANO Nexus SG-C6001 SHIMANO Nexus SL-C6000-8 Revo Shifter 8 Vidinės,8 1
591,Dviratis 28 Pegasus Savona SL Disc 8g vyr. šv.mėlynas,999,Pegasus,Aliuminis Moteriškas,Vyrams,Vieta,28 28,Shimano Nexus SG-C3001 Shimano Nexus SL-C3000-7 Revo Shifter 7 Vidinės,7 1
592,Dviratis 28 Pegasus Bici Italia 7Gg šv.rožinis,699.95,Pegasus,Plieninis,Apytikslis amžius 5-7 metų Vaikams,,20 20,Shimano Tourney TZ-500 Shimano Tourney TZ-500,
593,Dviratis 20 Classic STAR girl baltas,284,CLASSIC,Plieninis,,,20 20,,
594,Dviratis 20 KHE BMX COSMIC juodas,329,KHE,Aliuminis,,,20 20,,
595,Dviratis 20 KHE BMX BLACKJACK AL juodas,429.01,KHE,Aliuminis,Vaikams,,26 26,Shimano Tourney TY-300 Shimano Tourney TY-500 7,7 3
596,Dviratis 26 Classic TEAM sidabrinis,456,CLASSIC,CrMo,,,20.5 20,,
597,"Dviratis 20,5 HARO BMX SUBWAY mėlynas",519.01,HARO,Aliuminis Unisex​,,,20,"Shimano RD-R3000 Shimano SL-R3000, 1x9-speed Išorinės",1
598,Dviratis 28 BERGAMONT HANS-ON One Size pilkas bergamont,1199,Bergamont,Aliuminis Unisex,,Vieta,20,Shimano 7 pavarų Shimano pavarų perjungimo rankenėlės 7 Išorinės,7 1 priekinė žvaigždė
599,Dviratis 20 elektrinis Engwe M20 750Wh viena baterija juodas,1098.99,Engwe,Aliuminis,,,20,Nėra Nėra Išorinės,1
600,Dviratis 20 KHE BARCODE AL AFFIX 20 juodas khe,459,KHE,Aliuminis Vyriškas​,,,28,Shimano Nexus 7-speed Shimano Nexus SL-C3000 Vidinės,1
601,Dviratis 28 BERGAMONT HORIZON N7 CB GENT pilkas bergamont,799,Bergamont,Aliuminis Gravel​,Paaugliams,,28 28,"Shimano GRX RD-RX812, 11 pavarų Shimano GRX ST-RX600, 11 pavarų",1
602,Dviratis 28 BERGAMONT Gravel s GRANDURANCE 8 žalias bergamont,1999,Bergamont,Aliuminis,Vaikams,,26,"Shimano RD-TY300, 7 pavarų Shimano SL-RS35 RevoShift, 3x7",3
603,Dviratis 26 BERGAMONT REVOX ATB 26 GIRL 42 baltas bergamont,699,Bergamont,Aliuminis Unisex,,Sulankstomi,20,Nėra galinio pavarų perjungėjo Nėra Vienos pavaros,1
604,Dviratis 20 elektrinis sulankstomas Engwe P20 250Wh juodas,999,Engwe,Plieninis Unisex,,Sulankstomi,14,Nėra Mechaninė pavarų rankenėlė Išorinės,1 priekinė žvaigždė
605,Dviratis 14 elektrinis sulankstomas Engwe T14 480Wh oranžinis,699,Engwe,Aliuminis,,,29,"Shimano Tourney TX-800, 8 pavarų Shimano ST-EF500, 3x8-speed",3
606,Dviratis 29 HARO FLIGHTLINE TWO 29aro,649,HARO,Aliuminis Vyriškas,Vyrams,Vieta,26,Shimano Tourney Shimano Tourney 7 Išorinės,7 1
607,Dvirtais 26 elektrinis Engwe E26 1000Wh vyriškas geltonas,1399,Engwe,Aliuminis Vyriškas​,,,28,Nėra Shimano Revo SL-RS36 Išorinės,3
608,Dviratis 28 CLASSIC DELUXE 7 28 ruda + sidabrinis basket classic,406,CLASSIC,Aliuminis Moteriškas,Vyrams,Vieta,"28 28""",Shimano Nexus SG-C3001 Shimano Nexus SL-C3000-7 Revo Shifter 7 Vidinės,7 1
609,"Dviratis 28"" Pegasus Avanti 7g wave baltas",649.95,Pegasus,Aliuminis Gravel,,,28,"Shimano RD-R3000, 9 pavaros Shimano Sora ST-R3000, 9 pavaros",2
610,Dviratis 28 BERGAMONT Gravel GRANDURANCE 4,1199,Bergamont,Aliuminis Unisex,,Vieta,20,Shimano 7 pavarų Shimano pavarų perjungimo rankenėlės 7 Išorinės,7 1 priekinė žvaigždė
