,id,title,price,brand,Combined_ekrano_rai,Combined_ekrano_dyd,Combined_ekrano_įs,Combined_ekrano_t,Combined_gps,Combined_vidinė,Combined_svor,Combined_g4g
138,139,"Planšetinis kompiuteris Apple iPad Air 10.9'' Wi-Fi 64GB, Starlight 5th Gen (2022)",639.99,Apple,,"12.4""",12.0,Super AMOLED,,128,"0,567 kg",
139,140,"Planšetė TAB16 11"" 256GB LTE/TAB 16 Mėlynas BLACKVIEW",196.54,Blackview,1200 x 1920,"10,1 colio 1920 x 1200 IPS","10"" - 10,9",IPS,,64 64,"0,480 0.7",
140,141,"Planšetė GALAXY TAB A9 8.7""/64GB LTE SILV SM-X115 SAMSUNG",165.99,Samsung,,,11.0,,,128,,
141,142,"Planšetė GALAXY TAB S8+ 12""/128GB Rožinis SM-X800 SAMSUNG",729.69,Samsung,1920 x 1200,"8,0""","8"" - 8,9","TFT LCD, 120Hz",,128 128 GB,"0,443 0.8",
142,143,Planšetė eSTAR URBAN 1020L 64GB LTE,141.99,eStar,1340x800,"8,7""","8"" - 8,9",TFT LCD 60Hz,,64 64,"0,332 0.51",
143,144,"Planšetė Samsung Galaxy Tab A9+ | 11 "" | Sidabrinis | TFT LCD | 1200 x 1920 pikselių | Qualcomm SM6375 | Snapdragon 695 5G (6 nm) | 8 GB | 128 GB | 3G | 4G | 5G | Wi-Fi | Front camera | 5 MP | Rear camera | 8 MP | Bluetooth | 5.1 | Android | 13 | Garantija 24 mėn.",335.65,Samsung,1280 x 800,"10,1""","10"" - 10,9",IPS,,64 64,"0,480 1",
144,145,"Planšetė SAMSUNG GALAXY TAB ACTIVE5 ENTERPRISE EDITION Žalias 8,0"", 5G",449.99,Samsung,,,"10.5 "" 26.67 cm",,,64,,
145,146,"Samsung | Galaxy | Tab A9 (X110) | 8.7 "" | Sidabrinis | TFT LCD | 800 x 1340 pikselių | Mediatek | Helio G99 | 4 GB | 64 GB | Wi-Fi | Front camera | 2 MP | Rear camera | 8 MP | Bluetooth | 5.3 | Android | 13",128.49,Samsung,2000x1200,"12""",12.0,IPS LCD,,256 256 GB,"0,63 kg 0,632 kg 0,63 kg 0,528 kg",
146,147,eSTAR 10'' HERO Batman Planšetė 2GB/64GB eSTAR 10'' HERO Batman Planšetė 2GB/64GB,93.75,eStar,,8,8.0,IPS,,64 64,"1,00000 320",taip taip
147,148,Planšetė Kompiuteris Microsoft Nešiojamas kompiuteris Surface GO 4 N200 / 8 / 64 Win11 Komercinė,669.99,Microsoft,,,"10.9 "" 27,7 cm",,,256,,
148,149,"Planšetė TAB18 12"" 256GB/Žalias BLACKVIEW",251.79,Blackview,2064 x 2752,"13""","13"" - 13,9","Ultra Retina Tandem OLED, 120 Hz, HDR10, Dolby Vision, 1000 nitų (HBM), 1600 nitų",,512 512,"0,579 0.96",
149,150,Planšetė Lenovo Tab M8 Gen4 LTE 4GB+64GB Arctic Pilkas + pakuotė + folija,159.99,Lenovo,1600 x 2560,"12,1""","12"" - 12,9",IPS 120Hz,,256 256 GB,"0,571 0.94",
150,151,Planšetė Galaxy Tab S9 Samsung SM-X516BZAEEUB 8 GB RAM 256 GB Juoda Pilka,565.99,Samsung,800 x 1340,"8,7 colių 800 x 1340 TFT","8"" - 8,9",TFT,,32 32 GB,"0,366 0.371",
151,152,"iPad Pro 13"" M4 WiFi 512GB with Standard glass - Silver",1739.99,Apple,,"10,1",10.1,TFT,,128 128,"0,60000 674",taip taip
152,153,"Planšetė Xiaomi Redmi | Pad Pro | 12.1 "" | Mint Žalias | IPS LCD | 1600 x 2560 pikselių | Qualcomm | Snapdragon 7s Gen 2 | 8 GB | 256 GB | Wi-Fi | Front camera | 8 MP | Rear camera | 8 MP | Bluetooth | 5.2 | Android | 14",319.99,Xiaomi,1280 x 800,"8,0""","8"" - 8,9",SKELBIMAI,,32 32,"0,320 0.8",
153,154,"Planšetė Samsung | Galaxy Tab A7 Lite | T220 | 8,7 colio | Sidabrinis | TFT | 1340 x 800 | MediaTek MT8768N | 3 GB | 32 GB | Wi-Fi | Priekinė kamera | 2 MP | Galinė kamera | 8 MP | Bluetooth | 5.0 | Android | 11.0",117.15,Samsung,2000x1200,"12""",12.0,IPS LCD,,256 256 GB,"0,63 kg 0,632 kg 0,63 kg 0,528 kg",
154,155,"Planšetė GALAXY TAB ACTIVE4 PRO/10.1"" 128GB Juodas T636 SAMSUNG",595.99,Samsung,,,11.0,,,256,,
155,156,"Planšetė TAB M8 4GEN 8"" WIFI/3/32GB Pilkas ZAD00069PL LENOVO",110.99,Lenovo,,,12.7,,,128,,
156,157,"Planšetė TAB18 12"" 256GB/Mėlynas BLACKVIEW",275.99,Blackview,,11.0,11.0,IPS,,128.0 128,462.0,
157,158,"Planšetė Redmi Pad SE 11"" 8GB / 256GB Wi-Fi, violetinės spalvos",244.24,Xiaomi,,,8.0,,,32,0.71 320 g,
158,159,"Lenovo Planšetinis kompiuteris Tab P12 8GB + 128GB, Pilkos spalvos",365.99,Lenovo,,,10.1,,,,953 540,
159,160,"Planšetė Apple iPad Air 11"" M2 Wi-Fi + Cellular 128GB – violetinė",859.99,Apple,,13.0,13.0,IPS,,128.0 128,617.0,
160,161,"Planšetinis Kompiuteris - Lenovo Tab M8 32 GB 20,3 Cm (8"") Mediatek 3 GB Wi-Fi 5 (802.11ac) Android 12 Pilkas",118.99,Lenovo,,13.0,13.0,IPS,,256.0 256,617.0,
161,162,Planšetė Teclast P30,88.85,Teclast,1280 x 800,"10,1 colio 1280 x 800 IPS","10"" - 10,9",IPS,,64 64,"0,533 1.24",
162,163,"Planšetė Apple iPad Air 13"" M2 Wi-Fi 128GB – violetinė",929.99,Apple,,"14,6",,Dinaminis AMOLED 2X,,256,"0,80000 718",
163,164,"Planšetė Apple iPad Air 13"" M2 Wi-Fi 256GB – mėlyna",1055.99,Apple,,,"10,5''",,,256 256,0.509,Integruota Integruota
164,165,"Oukitel Planšetė OT6 Kids WiFi 4/64GB 8000 mAh 10.1"" žalia",105.99,Oukitel,,,12.1,,,256,1.025 571 g,
165,166,"Planšetė GALAXY TAB S10 ULTRA/14"" 256GB SILV SM-X920 SAMSUNG",1109.99,Samsung,,,"10,5''",,,128 128,521,Ne Ne
166,167,"Oukitel Planšetė OKT3 8/256GB 8250 mAh 10.51"" mėlyna",215.99,Oukitel,1848 x 2960,"14.6""","14"" - 14,9",Dinaminis AMOLED 2X 120Hz,,256 GB,"0,718 1.081",
167,168,Planšetinis Kompiuteris - Xiaomi Poco Pad 8/256GB Pilkas,319.99,Xiaomi,,,10.4,,,64,,
168,169,"Planšetė Microsoft Surface Go4 Intel N200 10,5 colio 8GB 128GB W11P komercinė platina",796.99,Microsoft,1600 x 2560,"12,1""","12"" - 12,9",IPS 120Hz,,256 256,"0,571 0.94",
169,170,Samsung Galaxy Tab S10 Ultra WiFi 12/256GB SM-X920 Gray,1109.99,Samsung,,,8.0,,,,,
170,171,"Planšetė GALAXY P613 10.4""/64GB WIFI GRAY P613 SAMSUNG",339.99,,,"12,7",12.7,LTPS,,256,"1,00000 600",
171,172,Planšetė Xiaomi Redmi Pad Pro 8+256GB Ocean Mėlyna,325.99,Xiaomi,1640 x 2360,"10,9""","10"" - 10,9","Skystas tinklainės IPS LCD, 500 nitų",,64 64 GB,"0,481 0.896",
172,173,"Planšetė GALAXY TAB ACTIVE5 8""/128GB WIFI GR SM-X300 SAMSUNG",369.99,Samsung,,,"12.4 "" 31,5 cm",,,256,,
173,174,Planšetė Lenovo MPN,409.99,Lenovo,,11.0,11.0,IPS,,256.0 256,462.0,
174,175,"Planšetė Apple iPad 10,9"" Wi-Fi + Cellular 64GB – Pink 10th Gen",398.23  €,,1752 x 2800,"12,4""","12"" - 12,9",Dinaminis AMOLED 2X 120Hz,,256,0.571 0.934,
175,176,"Planšetė Samsung 12 GB RAM 12,4 256 GB",839.99,Samsung,1668 x 2420,"11""","11"" - 11,9","Ultra Retina Tandem OLED, 120 Hz, HDR10, Dolby Vision, 1000 nitų (HBM), 1600 nitų",,512 512 GB,"0,444 0.76",
176,177,"Planšetė Apple iPad Air 11"" M2 Wi-Fi + Cellular 256GB – mėlyna",979.99,Apple,,11.0,11.0,IPS,,256.0 256,462.0,
177,178,Planšetė Samsung Galaxy Tab S10+ WiFi 12/256GB SM-X820N Sidabrinis,979.99,Samsung,2064 x 2752,"13""","13"" - 13,9","Ultra Retina Tandem OLED, 120 Hz, HDR10, Dolby Vision, 1000 nitų (HBM), 1600 nitų",,512 512 GB,"0,579 0.96",
178,179,"iPad Pro 11"" M4 WiFi 512GB with Standard glass - Silver",1409.99,Apple,,"12,4",12.4,TFT,,128 256,"0,90000 628",
179,180,"Planšetė Apple iPad Air 11"" M2 Wi-Fi + Cellular 256GB – violetinė",979.99,Apple,,,12.1,,,128,,
180,181,"iPad Pro 13"" M4 WiFi 512GB with Standard glass - Space Black",1739.99,Apple,2000 x 1200,"10,4""","10"" - 10,9",IPS,,128 128,"0,440 0.7",
181,182,"Planšetė GALAXY TAB S9 FE+ 12.4""/256GB GRAY SM-X610 SAMSUNG",889.99,Samsung,2560 x 1600,"12,4 colio IPS LCD (2560 × 1600, 244 PPI), 90 Hz","12"" - 12,9","IPS LCD, 90Hz",,128 128 GB,"0,627 0.95",
182,183,"Planšetė Xiaomi Redmi Pad Pro (Mint Žalias) 12.1"" IPS LCD 1600x2560/2.4GHz&1.95GHz/128GB/6GB RAM/Android 14/Micro SDXC/WiFi,BT,VHU4725EU",255.99,Xiaomi,1024 x 600,7 colių 1024 x 600,"7"" - 7,9",TFT,,16 16,"0,284 0.5",
183,184,"Planšetinis kompiuteris Kruger & Matz Eagle 1073, 10.4"", 8 GB / 128 GB, Wi-Fi + LTE",189.99,Kruger & Matz,1920x1200,"10.51""",10.5,IPS LCD,,256 256 GB,"0,65 kg 0,509 kg 0,65 kg",
184,185,"Planšetė Samsung Galaxy Tab S9 FE+ 12.4"" WiFi 128GB Silver (SM-X610N)",585.74,Samsung,1200 x 2000,"11,5""","11"" - 11,9",TFT LCD,,128 128 GB,"0,495 0.75",
185,186,"eSTAR Planšetė MID7399 (7"" WIFI, 16GB) Juodas",68.99,eStar,,,10.4,,,32,,
186,187,Oukitel Planšetė OKT3 10.51“ 8/256GB Pilkas,179.89,Oukitel,,,"10,1''",,,256 256,1.03,Integruota Integruota
187,188,"Planšetė Honor Pad X9 11,5 4 GB RAM Pilka 128 GB",180.74,Honor,1340x800,"8.68""",8.68,IPS LCD,,128 GB,"6 kg 0,338 kg 0,3 kg 0,3 kg",
188,189,"Planšetė GALAXY TAB A7 10.4""/32GB LTE GRAY SM-T509 SAMSUNG",209.99,,,,"11""",,,256 256,1.018,Integruota Integruota
189,190,Oukitel Planšetė RT6 10.1 cali 8/256GB 20000 mAh juoda,339.99,Oukitel,,,10.1,,,64,,
190,191,"Planšetė TAB60 KIDS 8"" 128GB/TAB60 KIDS Mėlynas BLACKVIEW",143.99,Blackview,,,11.0,,,128,,
191,192,"Planšetė Planšetinis Kompiuteris - Ulefone Armor Pad 2 8+256GB LTE 11"" Geltona",365.99,Ulefone,2064 x 2752,"13""","13"" - 13,9","Ultra Retina Tandem OLED, 120 Hz, HDR10, Dolby Vision, 1000 nitų (HBM), 1600 nitų",,256 256 GB,"0,579 0.96",
192,193,"Planšetė Denver TAQ-10285 25,6 cm (10,1"") 1 GB 64 GB Wi-Fi 4 (802.11n) Suderinamas su Android 8.1 Go leidimu",76.10,,2048 x 2732 120 Hz,"12,9""","12"" - 12,9",Skystas Retina XDR mini-LED LCD,,128 128 GB,"0,682 1",
193,194,"Planšetė Apple iPad Pro 11"" Wi-Fi 128GB – Kosminė pilka 4th Gen",1135.99,,,,10.9,,,64,,
194,195,"iPad Pro 13"" M4 WiFi 256GB with Standard glass - Space Black",1595.99,Apple,,,12.9,,,512,,
195,196,"Planšetė Apple iPad Pro 12,9"" Wi-Fi 128GB – Kosminė pilka 6th Gen",1439.16,Apple,1640 x 2360,"11""","11"" - 11,9","Skystas tinklainės IPS LCD, 500 nitų (tipas), tikro tono",,128 128 GB,"0,462 0.75",
196,197,"Planšetė Apple iPad 10,9"" Wi-Fi + Cellular 64GB – sidabrinė 10 gen",615.99,,,,"10,1''",,,256 256,1.2,Integruota Integruota
197,198,"Planšetė Apple iPad Pro 12,9"" Wi-Fi 512GB – sidabrinė 6 gen",1715.99,,1668 x 2420,"11""","11"" - 11,9","Ultra Retina Tandem OLED, 120 Hz, HDR10, Dolby Vision, 1000 nitų (HBM), 1600 nitų",,512 512,"0,446 0.76",
198,199,"iPad Air 11"" M2 Wi-Fi 128GB - Space Grey",759.99,Apple,,"10,1"" 10,1 colio 1280 x 800 IPS","10"" - 10,9",IPS,,,"1.23 0,533",
199,200,Planšetė Oukitel RT7 12/256GB 32000mAh Juodas,446.68,Oukitel,,8.3,8.3,IPS,,64.0 64,293.0,
200,201,"iPad Pro 11"" M4 WiFi + Cellular 512GB with Standard glass - Space Black",1739.99,Apple,,13.0,13.0,IPS,,256.0 256,617.0,
201,202,"Oukitel Planšetė OT6 Kids WiFi 4/64GB 8000 mAh 10.1""mėlyna (Ekspozicinė prekė)",114.99,Oukitel,,,8.7,,,32,,
202,203,Planšetė Apple iPad Mini Wi-Fi 64GB Rožinė 6th Gen MLWL3H (Ekspozicinė prekė),699.99,Apple,,13.0,13.0,IPS,,128.0 128,617.0,
203,204,"Planšetė Apple iPad Air 13"" M2 Wi-Fi 256GB - Kosminė pilka",1119.99,Apple,,,,,,,,
204,205,"Planšetė Samsung Galaxy Tab A7 Lite 8.7"" WiFi 32GB Gray (SM-T220N)",135,,,11.0,11.0,IPS,,256.0 256,462.0,
205,206,"Planšetė Apple iPad Air 13"" M2 Wi-Fi 128GB – Starlight",1009.99,Apple,,11.0,11.0,IPS,,256.0 256,462.0,
206,207,"Planšetė Xoro MegaPAD 2404 24"" 128 GB Juoda (XOR400661)",615.99,Xoro,,,"13""",,,1 1024,0.579,Ne Ne
207,208,"Planšetė Apple iPad Air 11"" M2 Wi-Fi 256GB - Kosminė pilka",895.99,Apple,,,,,,,,
208,209,"Planšetė Apple iPad Air 11"" M2 Wi-Fi 256GB – Starlight",895.99,Apple,1488 x 2266,"8,3""","8"" - 8,9",Retina IPS True Tone,,128 GB,"0,293 0.652",
209,210,"iPad Pro 13"" M4 WiFi 1TB with Standard glass - Silver",2329.99,Apple,,,10.9,,,256,,
210,211,Planšetė Lenovo Tab 1Q TB370FU 12.7 MTK D7050 OC/8GB/128GB/Android/Pilkas/2Y Garantija (Ekspozicinė prekė),419.99,,,,8.7,,,64,,
211,212,Planšetė Apple iPad mini (A17 Pro) Wi-Fi 128GB Mėlyna,649.99,Apple,1600 x 2560,"11""","11"" - 11,9",IPS 120Hz HDR10,,128 128,"0,511 1",
212,213,"Planšetė „Apple iPad“ 10,9 colio „Wi-Fi“ + 256 GB mobilusis ryšys – sidabrinė 10 kartos",1029.99,,,,"11""",,,256 256,0.5,Integruota Integruota
213,214,"Planšetė Samsung Galaxy Tab A9 LTE, 64GB, 8.7 col., Pilkos spalvos +DOVANA Samsung Planšetinio kompiuterio dėklas „Smart (Pažeista pakuotė)",171.57,Samsung,1340 x 800 pikselių,"8,7""","8"" - 8,9",IPS,,4 128 GB,"0,373 0.54",
214,215,"Planšetinis kompiuteris Xiaomi Pad 5 6GB 128GB, Cosmic Gray",439.99,Xiaomi,1488 x 2266,"8,3""","8"" - 8,9",Retina IPS True Tone,,128,"0,293 0.652",
215,216,"Planšetė - Ulefone Tab A11 Pro 8+256GB 11"" LTE Pilkas.",249.99,Ulefone,,"11,5",,IPS,,128,"0,70000 520",Nr Nr
216,217,Planšetė Xiaomi Redmi Pad SE 8.7 4/128GB WiFi Sky Mėlyna,145.99,Xiaomi,,,11.5,,,128,,
217,218,Planšetė Apple iPad mini (A17 Pro) Wi-Fi 128GB Kosminė pilka,649.99,Apple,,,12.4,,,64,,
218,219,"Planšetė Lenovo Tab P11 (2nd) 6GB + 128GB, Storm Pilkas (Ekspozicinė prekė)",249.99,Lenovo,,,9.0,,,32,,
219,220,"Planšetė Lenovo Tab P11 (2nd Gen) 11.5"" 4GB / 128GB Wi-Fi Storm Grey (ZABF0394SE)",259.99,Lenovo,,,9.0,,,64,,
220,221,Planšetė Samsung T733N Galaxy Tab S7 FE WiFi 12.4 64GB (Juodas),539.99,,,,11.0,,,128,,
221,222,"Planšetė Lenovo Tab M9 9"" 3/32GB Wi-Fi (ZAC30123SE) Pilkas",119.99,,800 x 480,"7,0""","7"" - 7,9",TFT,,4 4,"0,275 0.5",
222,223,"Planšetė Lenovo Tab M9, 9"", HD, 4/64GB, Wi-Fi, pilkos spalvos (ZAC30180SE)",140.99,Lenovo,1640 x 2360,"10,9""","10"" - 10,9","Skystas tinklainės IPS LCD, 500 nitų (tipas), tikro tono",,64 64 GB,"0,458 0.905",
223,224,"Planšetė Xiaomi Pad 6 11"" 6/128GB Wi-Fi (VHU4345EU), Šampano spalvos",319.99,,800 x 480,"7,0""","7"" - 7,9",TFT,,4 4 GB,"0,275 0.5",
224,225,Planšetė KidsTAB7 BLOW mėlynas dėklas 2/32GB 2MP,64.99,Blow,,"12.4""",12.4,Super AMOLED,,128,"0,567 kg",
225,226,"Planšetė Apple iPad Air 10.9'' Wi-Fi 64GB, Kosminė pilka (Kosminė pilka) 5th Gen (2022)",638.45,Apple,,,11.0,,,64,,
226,227,Planšetė BLOW KidsTAB 7.4 rožinis + Dėklas,63.89,Blow,,,"10,5''",,,128 128,510,Integruota Integruota
227,228,Planšetė Samsung Galaxy Tab S8+ WiFi 8GB/128 GB Pilkas (Gray),895.99,Samsung,1280 × 800,"8.0""",8.0,IPS,,32,518,
228,229,Planšetė Samsung Galaxy Tab A9+ 5G 64GB Dark Mėlyna,239.99,,,"9.6""",9.6,IPS-LCD,,2,"0,46 kg",
229,230,Planšetė Kruger & Matz EAGLE 1070 planšetinis kompiuteris,186.90,Kruger & Matz,2944 x 1840,"12,7""","12"" - 12,9",LTPS,,128 128 GB UFS 2.2 (uMCP),"0,615 0.9",
230,231,Planšetė Amazon Amazon Fire HD 8 Kids Edition (2022) juodas/violetinė 2GB 32GB,153.67,Amazon,,,10.1,,,32,,
231,232,Planšetė Huawei Mediapad T3 10” 2/32GB 53010NXY,189,Huawei,,,8.7,,,64,,
232,233,"Planšetė Lenovo IdeaTab P12 TB370FU 12,7"" 8GB 128GB Storm Pilkas ZACL0007SE",379.99,Lenovo,,,10.1,,,16,,
233,234,"Planšetinis kompiuteris vaikams Thomson TEO10-KID 10.1"" 2/32GB Wi-Fi Mėlynas",130.21,Thomson,1340x800,"8,7""","8"" - 8,9",TFT LCD 60Hz,,128 128 GB,"0,333 0.51",
234,235,Samsung Galaxy Tab A7 Lite SM-T220 64 GB 4 GB Pilkas,159.76,,1600 x 2560,11 colių,"11 """,TFT LCD 120Hz,,128.0 128,0.3521 0.503 507,
235,236,"Planšetė Denver TAQ-10253 25,6 cm (10,1"") 1 GB 16 GB Wi-Fi 4 (802.11n) Suderinamas su Android 8.1 Go leidimu",89.33,,,,9.0,,,32,,
236,237,"Planšetė Samsung Galaxy Tab A9 LTE, 128GB, 8.7 col., Pilkos spalvos",215.99,Samsung,1488 x 2266,"8,3""","8"" - 8,9",Retina IPS True Tone,,64 64 GB,"0,293 0.652",
237,238,"Planšetė Samsung Galaxy Tab S8 11"" 8/128GB Wi-Fi + 5G Gray (SM-X706)",1927.65,Samsung,,,10.61,,,64,,
238,239,"Planšetinis kompiuteris Lenovo Tab M9 9"" 3 / 32GB WiFi + LTE (ZAC50122SE ) Pilkos spalvos",175.99,Lenovo,2160 x 1620,"10,2 colių 2160 x 1620 Retins IPS True Tone","10"" - 10,9",Retina IPS True Tone,,256 256,"0,487 0.896",
239,240,"Planšetė Apple iPad mini Wi-Fi 64GB Starlight, 6th Gen (2021)",532.95,Apple,1848 x 2960,"14.6""","14"" - 14,9","Super AMOLED, 120 Hz, HDR10+",,128 128 GB,"0,728 1.2",
240,241,"Xiaomi Redmi Pad 10.61"", 3GB/64GB, Pilkas (Graphite Grey)",143.99  €,,,,8.0,,,32,,
241,242,"Planšetė Apple iPad 10,2 colio Wi-Fi 256GB – Kosminė pilka, 9th Gen (2021)",528.36,Apple,2560 x 1600,"12,4""","12"" - 12,9","IPS LCD, 90Hz",,128 128,"0,627 0.95",
242,243,Planšetė Samsung Galaxy Tab S8 Ultra 5G 8GB/128 GB Pilkas (Gray),1269.99,Samsung,2944 x 1840,"12,7""","12"" - 12,9",LTPS,,128 128 GB UFS 2.2 (uMCP),"0,615 1",
243,244,"Planšetė Lenovo Tab M8 8"" 2/32 GB WiFi + LTE Pilka (ZA5D0038SE)",356.88,,,,8.0,,,32,,
244,245,"Planšetė GALAXY TAB S9 FE+ 12.4""/128GB GRAY SM-X610 SAMSUNG",585.18,Samsung,,10.3,10.3,IPS,,64.0 64,460.0,
245,246,"Planšetė Lenovo Tab P12 Pilka 128 GB 8 GB RAM 12,7",339.99,Lenovo,1800 x 2880,"11""","11"" - 11,9","IPS LCD, 1B spalvų, 144 Hz, HDR10, Dolby Vision, 550 nitų",,128 128,"0,490 1.2",
246,247,"Planšetė Lenovo Tab M8 (4th Gen) 8"" 3GB / 32GB Wi-Fi Grey (ZABU0140SE)",180.26,Lenovo,,,10.4,TFT,,64,465,
247,248,"Planšetė Lenovo Tab M10 (ZA5Y0118SE), Wifi, 4G, Iron Pilkas",312.03,Lenovo,,"31,5 cm (12,4 colio)",12.4,,,64,608 g,
248,249,"Planšetė Xiaomi Pad 6 11"" 8/128GB Wi-Fi (E0IGWXQQUM), Pilkos spalvos",439.99,Xiaomi,,,10.1,,,16,,
249,250,"Planšetė Samsung Galaxy Tab S6 Lite 10.4"" WiFi 64GB Gray (SM-P613N)",339.99,Samsung,,8.3,8.3,IPS,,256.0 256,293.0,
250,251,Planšetė Samsung Galaxy Tab S7 FE 5G 64GB Black (SM-T736B),509.79,Samsung,,,11.6,,,128,,
251,252,"Planšetė Denveris TAQ-10283 25,6 cm (10,1"") 1 GB 16 GB Wi-Fi 4 (802.11n) Juoda Android 8.1 Go leidimas",89.81,,,,7.0,,,8,,
252,253,"Planšetė Apple iPad mini Wi-Fi 256GB Kosminė pilka, 6th Gen (2021)",659.99,Apple,,,11.0,,,128,,
253,254,"Planšetė „OnePlus Pad“ planšetinis kompiuteris, „OxygenOS 13.1“, „Halo Žalias“.",269.99  €,,,"12,4",12.4,,,512 512,"0,90000 600",
254,255,"Planšetė Denveris TAQ-70332 17,8 cm (7 colių) 1 GB 8 GB Wi-Fi 4 (802.11n) Suderinamas su Android 8.1 Go leidimu",72.99,,,"10.1""",10.1,IPS-LCD,,32,"0,42 kg",
255,256,"Planšetinis kompiuteris Lenovo Tab P11 11.5"" Wi-Fi + 5G 6GB / 128GB Gray (ZA8Y0015SE)",444,Lenovo,,,10.1,,,128,,
256,257,"Planšetė GALAXY TAB S9+ 12""/512GB GRAPH. SM-X810 SAMSUNG",1285.99,Samsung,,"26,7 cm (10,5 colio)",8.0,,,32,509 g,
257,258,"Planšetinis kompiuteris Lenovo Tab M10 (2nd Gen) 10.1"" 3/32GB, Pilkos spalvos",213.89,Lenovo,,,10.1,,,16,,
258,259,"Planšetė Thomson TEOX10 LTE 10.1"" 8/128GB Wi-Fi + LTE Juodas (TEOX10-MT8SL128LTE) Juodas",259.99,Thomson,1920 × 1200,"10.1""",10.1,,,32,658.1,
259,260,"Planšetė GALAXY TAB A8 10.5""/32GB LTE Rožinis SM-X205 SAMSUNG",350.99,Samsung,1200 x 2000,"10,4""","10"" - 10,9",TFT LCD,,64 64,"0,467 0.8",
260,261,"Planšetė Denver TAQ-10383KBLUE/Rožinis 25,6 cm (10.1"") 1 GB 16 GB Wi-Fi 4 (802.11n) Juoda, Mėlyna, Rožinė Android 8.1 Go edition",106.53,,1920 x 1200,"11""","10"" - 10,9",IPS 90Hz,,128 128,"0,465 0.8",
261,262,Planšetė Amazon Fire HD 10 Kids Pro planšetinis kompiuteris (2023),219.99,Amazon,2000 x 1200,"11""","10"" - 10,9",IPS,,256 256 GB,"0,539 1.25",
262,263,Planšetė Samsung P620N Galaxy Tab S6 Lite 10.4 WiFi 64GB (Gray),299.99,Samsung,1280 × 800,"8.0""",8.0,IPS,,32,518,
263,264,Planšetinis kompiuteris Lenovo Tab M11 4GB RAM/ 128GB/ Pilkos spalvos (Luna Grey) + Lenovo® Tab Pen,154.66,Lenovo,,,"14.6 "" 37,1 cm",,,512,,
264,265,"Planšetė TAB16 11"" 256GB LTE/TAB 16 GRAY BLACKVIEW",81.99  €,,,,8.7,,,64,,
265,266,"Amazon Fire HD 8 Kids-Planšetė, 8-col.-HD-Ekranas, 32GB (2022) für Kinder von 3 bis 7 Jahre, 2 Jahre Sorglos-Garantie, kindgerechte Hülle, Blau",142.99,Amazon,,,10.1,,,32,,
266,267,"Planšetė Samsung SM-X906BZAFEUB 14,6 Qualcomm Snapdragon 8 Gen 1 5G 12 GB RAM Juoda Pilka Grafito 16 GB 512 GB 16 GB RAM",1595.70,Samsung,,11.0,11.0,Tandem OLED,,256.0 256,444.0,
267,268,Samsung X110 Galaxy Tab A9 8.7 WiFi 64GB (Navy),131.72,,,,12.4,,,128,,
268,269,"Planšetė Denver TIQ-10394 25,6 cm (10,1"") 1 GB 32 GB Wi-Fi 4 (802.11n) Suderinamas su Android 8.1 Go leidimu",106.83,,1200 x 2000,"10,3""","10"" - 10,9",TFT,,128 128 GB,"0,471 0.567",
269,270,"Planšetė Apple iPad Pro 11"" M4 WiFi 256GB su standartiniu stiklu – sidabrinė",1169.99,Apple,,,10.1,,,16,,
270,271,"Planšetė Samsung Galaxy Tab S7 FE T736 5G EU 128GB, Android, mystic žalias",654.90,Samsung,1920 x 1200,"10,1""","10"" - 10,9",IPS,,64 64,"0,460 0.75",
271,272,Planšetė NOKIA T21 TA-1495 DS LTE 4/128 UK_NOR Pilkas,262.88,Nokia,,,8'',,,64 64,0.5381,Integruota Integruota
272,273,"Planšetė Allview Viva H1004 LTE 10.1 "", Juodas, IPS, 1280 x 800 pikselių, Mediatek MT8735, Mali-T720MP2, 2 GB, 16 GB, 4G, Wi-Fi, 3G, Front camera, 2 MP, Rear camera, 5 MP, Bluetooth, 4.0, Android, 10.0",161.89,,2000x1200,"10.36""",10.36,IPS LCD,,256 256 GB,"1 kg 0,976 kg 1 kg 1 kg",
273,274,"Planšetė TAB M10 3GEN 10"" 4/64GB/LTE ST.Pilkas ZAAF0067PL LENOVO",149.72,Lenovo,2000x1200,"10.36""",10.36,IPS LCD,,256 256 GB,"1 kg 0,976 kg 1 kg 1 kg",
274,275,"Planšetė Oukitel RT3 4 GB RAM 8 10,1 MediaTek MT8768WA Oranžinė 64 GB",189.99,Oukitel,,,12.1,,,256,,
275,276,"Planšetė ACTIVE 8 PRO 10"" 256GB/ACTIVE 8 PRO Juodas BLACKVIEW",365.99,Blackview,,,"12.4 "" 31,5 cm",,,128,,
276,277,"Planšetė ACTIVE 8 PRO 10"" 256GB/ACTIVE 8 PRO Oranžinis BLACKVIEW",365.99,Blackview,,7,7.0,TN,,3,"0,60000 600",
277,278,"Planšetė „Xiaomi Redmi Pad Pro“ („Ocean Mėlyna“) 12,1 colio IPS LCD 1600x2560/2,4GHz ir 1,95GHz/128GB/6GB RAM/Android 14/Micro SDXC/WiFi,BT,VHU4733EU",255.99,Xiaomi,,,8'',,,64 64,0.5381,Integruota Integruota
278,279,"Planšetė Samsung Galaxy Tab S7 FE T733N WiFi EU 128GB, Android, mystic žalias",659.99,Samsung,,"37,0 cm (14,6 colio)",14.6,,,256,728 g,
